method	M1	M2	M3	M4	M5	M6	M7	M8	M9	M10	M11	M12	M13	M14	M15	M16	M17	M18	M19	M20	mean_shared	mean_all
ward_cosine	0.8063	0.8046	0.7641	0.6546	0.7126	0.8891	0.5447	0.8371	0.8143	0.9025	0.9024	0.7874	0.7807	0.6275	0.5698	0.7714	0.8487	0.7635	0.7319	0.9215	0.7542	0.7717
ward_euclid	0.8060	0.7997	0.7441	0.5829	0.6296	0.8645	0.5740	0.8128	0.7632	0.8907	0.8936	0.7984	0.7610	0.6817	0.5888	0.7371	0.8397	0.7468	0.7324	0.8359	0.7330	0.7541
average	0.6287	0.5800	0.4141	0.6377	0.9150	0.6845	0.0805	0.6506	0.7983	0.7104	0.7036	0.4892	0.6774	0.0320	0.3030	0.6561	0.7210	0.6956	0.7322	0.7073	0.5783	0.5909
complete	0.7169	0.6970	0.6552	0.6132	0.7532	0.7545	0.3357	0.7295	0.8554	0.7574	0.8177	0.6680	0.7233	0.2745	0.5101	0.7652	0.7834	0.7140	0.6995	0.8196	0.6615	0.6822
weighted	0.6880	0.6288	0.5035	0.6348	0.9126	0.7204	0.1622	0.6881	0.8316	0.7065	0.7794	0.5816	0.7134	0.1760	0.3920	0.6850	0.7119	0.7433	0.7216	0.7991	0.6367	0.6390
single	0.0438	0.0369	0.0173	0.0592	0.7368	0.0178	-0.0028	0.0181	0.1138	0.2797	0.0869	0.0136	0.1229	0.0008	0.0111	0.1691	0.0804	0.0363	0.3950	0.3426	0.1520	0.1290
centroid	0.0262	0.0381	0.0085	0.0223	0.2962	0.0032	-0.0019	0.0077	0.0575	0.0077	0.0159	0.0032	0.0259	0.0006	0.0086	0.0753	0.0287	0.0119	0.0971	0.0461	0.0482	0.0389
median	0.0628	0.1191	0.0403	0.1064	0.5719	0.0055	-0.0008	0.0433	0.0523	0.0098	0.0288	0.0038	0.0788	0.0007	0.0104	0.2172	0.0564	0.0647	0.2508	0.3629	0.1340	0.1043
hdbscan	0.8010	0.7585	0.6999	0.5416	0.6040	0.8455	0.4098	0.8025	0.7921	0.7783	0.9027	0.7621	0.7232	0.4889	0.6034	0.6784	0.7733	0.6949	0.6706	0.7520	0.6803	0.7041
dbscan	0.7948	0.4616	0.2521	0.6537	0.8564	0.6892	0.0003	0.7763	0.5319	0.3858	0.7688	0.6521	0.7223	0.0139	0.5535	0.7345	0.6848	0.4827	0.6768	0.8906	0.6174	0.5791
leiden	0.5321	0.6015	0.6731	0.4529	0.6323	0.8434	0.5950	0.7667	0.6835	0.8799	0.8765	0.7238	0.5345	0.6250	0.3102	0.4482	0.5795	0.6851	0.5365	0.5393	0.6027	0.6259
louvain	0.1829	0.2448	0.3236	0.1667	0.5313	0.5616	0.6044	0.5632	0.4034	0.6656	0.6491	0.3985	0.1375	0.3243	0.0657	0.1409	0.1260	0.2324	0.1979	0.2507	0.3050	0.3385
spherical_kmeans	0.7333	0.7254	0.6757	0.5624	0.5807	0.8076	0.5150	0.7298	0.6923	0.8332	0.8283	0.7393	0.7293	0.6354	0.5741	0.6455	0.7453	0.6600	0.6570	0.7731	0.6776	0.6921
agg_ward_knn	0.8026	0.8021	0.7436	0.5900	0.6294	0.8706	0.5776	0.8091	0.7605	0.8930	0.8931	0.8008	0.7551	0.6480	0.5761	0.7392	0.8426	0.7418	0.7361	0.8374	0.7288	0.7524
agg_avg_knn	0.0421	0.0276	0.0153	0.1184	0.6086	0.0228	0.0005	0.0209	0.1070	0.1502	0.0809	0.0213	0.0524	0.0006	0.0186	0.1574	0.2075	0.0631	0.2644	0.5007	0.1800	0.1240
birch	0.4739	0.2627	0.3216	0.6032	0.7744	0.4956	0.1872	0.5201	0.4814	0.6186	0.7142	0.4202	0.3694	0.1081	0.1109	0.4456	0.5018	0.5425	0.4585	0.4077	0.4648	0.4409
pca_ward	0.7674	0.7589	0.6972	0.5460	0.5673	0.8134	0.6046	0.7130	0.6770	0.8611	0.8466	0.6866	0.7019	0.5352	0.5962	0.6446	0.6789	0.7293	0.6879	0.6752	0.6512	0.6894
pca_average	0.4393	0.4854	0.1963	0.1750	0.1258	0.6153	-0.0060	0.4874	0.7130	0.2793	0.0840	0.0251	0.5514	0.0175	0.0257	0.2307	0.0358	0.2504	0.2853	0.0428	0.0869	0.2530
gmm_diag	nan	nan	nan	0.5670	0.5970	0.7262	0.4672	nan	nan	0.8164	0.7795	0.7040	nan	0.6111	0.5360	nan	0.7285	0.6529	nan	0.7994	0.6639	0.6654
spectral	nan	nan	nan	0.5888	0.4926	nan	nan	nan	nan	nan	0.7867	0.6175	nan	0.6118	0.4646	nan	0.6902	0.7294	nan	0.7031	0.6316	0.6316
