dataset	ctrl3_x0.7_g0_b0.6	ctrl3_x0.7_g0_b0.65	ctrl3_x0.7_g0_b0.7	ctrl3_x0.7_g0_b0.75	ctrl3_x0.7_g0_b0.8	ctrl3_x0.7_g0_b0.85
M1	0.7954	0.7960	0.7972	0.7937	0.7923	0.7893
M2	0.8084	0.8066	0.8107	0.8170	0.8097	0.8111
M3	0.7809	0.7772	0.7830	0.7821	0.7781	0.7777
M4	0.6606	0.6546	0.6798	0.6742	0.6791	0.6716
M5	0.7182	0.7253	0.7329	0.7218	0.7218	0.7349
M6	0.8908	0.8848	0.8785	0.8862	0.8792	0.8803
M7	0.5607	0.5743	0.5724	0.5734	0.5918	0.5897
M8	0.8440	0.8421	0.8466	0.8439	0.8403	0.8485
M9	0.8461	0.8528	0.8448	0.8530	0.8552	0.8452
M10	0.8877	0.8834	0.8934	0.8939	0.8795	0.8710
M11	0.9085	0.9063	0.9048	0.9053	0.9037	0.9024
M12	0.7954	0.7792	0.7775	0.7822	0.7804	0.7766
M13	0.7909	0.7960	0.8037	0.7993	0.8005	0.8000
M16	0.7739	0.7726	0.7673	0.7717	0.7724	0.7620
M17	0.8540	0.8933	0.8841	0.8885	0.8886	0.8860
M18	0.8188	0.8161	0.8003	0.8011	0.7949	0.7898
M19	0.7536	0.7233	0.7115	0.7135	0.7255	0.7321
M20	0.9115	0.9129	0.9119	0.9128	0.9148	0.9173
M21	0.7627	0.7575	0.7782	0.7754	0.7727	0.7985
M22	0.7896	0.7733	0.7787	0.7770	0.7790	0.7745
M23	0.7443	0.7443	0.7237	0.7253	0.7122	0.7240
M24	0.8557	0.8434	0.8353	0.8404	0.8678	0.8687
M25	0.8707	0.8707	0.8707	0.8707	0.8707	0.8965
M26	0.9336	0.9336	0.9485	0.9485	0.9485	0.9485
