dataset	ctrl_x0.7_g0_b0.6	ctrl_x0.7_g0_b0.65	ctrl_x0.7_g0_b0.7	ctrl_x0.7_g0_b0.75	ctrl_x0.7_g0_b0.8	ctrl_x0.7_g0_b0.85	ctrl_x0.7_g0.35_b0.65	ctrl_x0.7_g0.35_b0.7	ctrl_x0.7_g0.35_b0.75	ctrl_x0.7_g0.35_b0.8	ctrl_x0.7_g0.35_b0.85
M1	0.7968	0.8002	0.7952	0.7914	0.7835	0.7869	0.7972	0.7934	0.7898	0.7835	0.7827
M2	0.8064	0.8082	0.8155	0.8117	0.8124	0.8089	0.8105	0.8183	0.8195	0.8130	0.8105
M3	0.7767	0.7779	0.7805	0.7810	0.7797	0.7796	0.7772	0.7761	0.7831	0.7783	0.7784
M4	0.6719	0.6645	0.6791	0.6551	0.6778	0.6713	0.6638	0.6613	0.6839	0.6753	0.6706
M5	0.7249	0.7257	0.7259	0.7259	0.7236	0.7173	0.7259	0.7259	0.7259	0.7174	0.7173
M6	0.8958	0.8931	0.8904	0.8878	0.8878	0.8849	0.8919	0.8911	0.8867	0.8882	0.8839
M7	0.5633	0.5771	0.5739	0.5801	0.5848	0.6019	0.5844	0.5814	0.5863	0.5881	0.6046
M8	0.8425	0.8457	0.8482	0.8499	0.8502	0.8474	0.8419	0.8447	0.8477	0.8481	0.8455
M9	0.8458	0.8503	0.8532	0.8447	0.8406	0.8405	0.8528	0.8536	0.8448	0.8406	0.8366
M10	0.8946	0.8834	0.8855	0.8818	0.8781	0.8786	0.8875	0.8855	0.8929	0.8800	0.8768
M11	0.9082	0.9147	0.8953	0.8941	0.8950	0.8933	0.9083	0.8952	0.8958	0.8952	0.8987
M12	0.8085	0.8156	0.7893	0.8041	0.8020	0.8000	0.8016	0.8095	0.8050	0.8013	0.8015
M13	0.7852	0.7990	0.8009	0.8032	0.8016	0.8056	0.7980	0.8056	0.8027	0.8019	0.8056
M16	0.7700	0.7697	0.7715	0.7688	0.7765	0.7695	0.7697	0.7682	0.7674	0.7695	0.7695
M17	0.8476	0.8896	0.8890	0.8861	0.8817	0.8827	0.8900	0.8871	0.8861	0.8817	0.8827
M18	0.8061	0.7985	0.7992	0.7979	0.8017	0.8069	0.8009	0.7992	0.7960	0.8023	0.8071
M19	0.7254	0.7256	0.7142	0.7177	0.7245	0.7346	0.7222	0.7202	0.7162	0.7252	0.7334
M20	0.9151	0.9136	0.9136	0.9136	0.9127	0.9034	0.9136	0.9136	0.9136	0.9129	0.9034
M21	0.7673	0.7599	0.7744	0.7736	0.7931	0.8172	0.7675	0.7849	0.7785	0.7934	0.8169
M22	0.7767	0.7777	0.7783	0.7775	0.7778	0.7746	0.7775	0.7791	0.7828	0.7801	0.7746
M23	0.7273	0.7369	0.7362	0.7445	0.7423	0.7243	0.7261	0.7378	0.7472	0.7304	0.7242
M24	0.8492	0.8448	0.8441	0.8717	0.8661	0.8553	0.8444	0.8441	0.8742	0.8652	0.8553
M25	0.8707	0.8707	0.8707	0.8965	0.8965	0.8965	0.8707	0.8707	0.8707	0.8965	0.9082
M26	0.9433	0.9433	0.9433	0.9433	0.9489	0.9489	0.9433	0.9433	0.9433	0.9433	0.9489
