dataset	ctrl1_x0.7_g0_b0.6	ctrl1_x0.7_g0_b0.65	ctrl1_x0.7_g0_b0.7	ctrl1_x0.7_g0_b0.75	ctrl1_x0.7_g0_b0.8	ctrl1_x0.7_g0_b0.85	ctrl1_x0.7_g0.35_b0.6	ctrl1_x0.7_g0.35_b0.65	ctrl1_x0.7_g0.35_b0.7	ctrl1_x0.7_g0.35_b0.75	ctrl1_x0.7_g0.35_b0.8	ctrl1_x0.7_g0.35_b0.85
M1	0.7872	0.7877	0.7862	0.7844	0.7808	0.7752	0.7883	0.7844	0.7823	0.7775	0.7838	0.7710
M2	0.8097	0.8161	0.8174	0.8189	0.8106	0.8020	0.8140	0.8148	0.8207	0.8238	0.8154	0.8024
M3	0.7783	0.7796	0.7768	0.7738	0.7723	0.7708	0.7793	0.7770	0.7764	0.7732	0.7711	0.7709
M4	0.6651	0.6617	0.6448	0.6500	0.6479	0.6508	0.6409	0.6655	0.6308	0.6788	0.6476	0.6514
M5	0.7157	0.7233	0.7207	0.7164	0.7312	0.7329	0.7174	0.7233	0.7212	0.7166	0.7312	0.7329
M6	0.8712	0.8723	0.8854	0.8831	0.8735	0.8711	0.8822	0.8719	0.8839	0.8843	0.8761	0.8724
M7	0.5695	0.5674	0.5746	0.5842	0.5861	0.5881	0.5715	0.5655	0.5693	0.5851	0.5887	0.5878
M8	0.8249	0.8323	0.8346	0.8289	0.8336	0.8372	0.8271	0.8264	0.8306	0.8284	0.8304	0.8309
M9	0.8245	0.8326	0.8286	0.8283	0.8221	0.8226	0.8270	0.8297	0.8302	0.8269	0.8269	0.8226
M10	0.8809	0.8745	0.8696	0.8580	0.8563	0.8554	0.8711	0.8782	0.8696	0.8679	0.8696	0.8537
M11	0.9065	0.9025	0.9136	0.9058	0.8995	0.9078	0.9062	0.8991	0.9115	0.9050	0.8995	0.9066
M12	0.7944	0.7885	0.7943	0.7751	0.7748	0.7738	0.7928	0.7916	0.7631	0.7703	0.7727	0.7738
M13	0.7798	0.7867	0.7906	0.7904	0.7877	0.7916	0.7760	0.7880	0.7907	0.7961	0.7921	0.7929
M16	0.7799	0.7830	0.7756	0.7670	0.7717	0.7712	0.7804	0.7794	0.7693	0.7741	0.7685	0.7721
M17	0.8286	0.8645	0.8676	0.8748	0.8639	0.8709	0.8274	0.8657	0.8624	0.8698	0.8640	0.8639
M18	0.8178	0.8185	0.8093	0.8045	0.8036	0.7966	0.8184	0.8133	0.8114	0.8111	0.8045	0.7966
M19	0.7525	0.7220	0.7101	0.7078	0.7127	0.7102	0.7497	0.7242	0.7097	0.7042	0.7056	0.7161
M20	0.9143	0.9075	0.9037	0.9037	0.9085	0.9080	0.9088	0.9088	0.9066	0.9037	0.9061	0.9080
M21	0.7650	0.7616	0.7702	0.7665	0.7879	0.7927	0.7693	0.7713	0.7751	0.7643	0.7960	0.7926
M22	0.7944	0.7962	0.7943	0.7823	0.7769	0.7778	0.7983	0.7959	0.7931	0.7813	0.7780	0.7777
M23	0.7597	0.7077	0.6892	0.7659	0.7431	0.7297	0.7588	0.6914	0.7514	0.7643	0.7596	0.7297
M24	0.8532	0.8486	0.8460	0.8437	0.8662	0.8765	0.8532	0.8491	0.8452	0.8436	0.8662	0.8765
M25	0.8592	0.8592	0.8592	0.8592	0.8965	0.8965	0.8487	0.8592	0.8592	0.8904	0.8965	0.8965
M26	0.9318	0.9318	0.9318	0.9466	0.9546	0.9546	0.9318	0.9318	0.9318	0.9466	0.9546	0.9546
