dataset	ctrl_x0_g0_b0.5	ctrl_x0_g0_b0.6	ctrl_x0_g0_b0.7	ctrl_x0_g0.35_b0.5	ctrl_x0_g0.35_b0.6	ctrl_x0_g0.35_b0.7	ctrl_x0_g0.5_b0.5	ctrl_x0_g0.5_b0.6	ctrl_x0_g0.5_b0.7	ctrl_x0.35_g0_b0.5	ctrl_x0.35_g0_b0.6	ctrl_x0.35_g0_b0.7	ctrl_x0.35_g0.35_b0.5	ctrl_x0.35_g0.35_b0.6	ctrl_x0.35_g0.35_b0.7	ctrl_x0.35_g0.5_b0.5	ctrl_x0.35_g0.5_b0.6	ctrl_x0.35_g0.5_b0.7	ctrl_x0.5_g0_b0.5	ctrl_x0.5_g0_b0.6	ctrl_x0.5_g0_b0.7	ctrl_x0.5_g0.35_b0.5	ctrl_x0.5_g0.35_b0.6	ctrl_x0.5_g0.35_b0.7	ctrl_x0.5_g0.5_b0.5	ctrl_x0.5_g0.5_b0.6	ctrl_x0.5_g0.5_b0.7	ctrl_x0.7_g0_b0.5	ctrl_x0.7_g0_b0.6	ctrl_x0.7_g0_b0.7	ctrl_x0.7_g0.35_b0.5	ctrl_x0.7_g0.35_b0.6	ctrl_x0.7_g0.35_b0.7	ctrl_x0.7_g0.5_b0.5	ctrl_x0.7_g0.5_b0.6	ctrl_x0.7_g0.5_b0.7	concat_x0_g0_b0.5	concat_x0_g0_b0.6	concat_x0_g0_b0.7	concat_x0_g0.35_b0.5	concat_x0_g0.35_b0.6	concat_x0_g0.35_b0.7	concat_x0_g0.5_b0.5	concat_x0_g0.5_b0.6	concat_x0_g0.5_b0.7	concat_x0.35_g0_b0.5	concat_x0.35_g0_b0.6	concat_x0.35_g0_b0.7	concat_x0.35_g0.35_b0.5	concat_x0.35_g0.35_b0.6	concat_x0.35_g0.35_b0.7	concat_x0.35_g0.5_b0.5	concat_x0.35_g0.5_b0.6	concat_x0.35_g0.5_b0.7	concat_x0.5_g0_b0.5	concat_x0.5_g0_b0.6	concat_x0.5_g0_b0.7	concat_x0.5_g0.35_b0.5	concat_x0.5_g0.35_b0.6	concat_x0.5_g0.35_b0.7	concat_x0.5_g0.5_b0.5	concat_x0.5_g0.5_b0.6	concat_x0.5_g0.5_b0.7	concat_x0.7_g0_b0.5	concat_x0.7_g0_b0.6	concat_x0.7_g0_b0.7	concat_x0.7_g0.35_b0.5	concat_x0.7_g0.35_b0.6	concat_x0.7_g0.35_b0.7	concat_x0.7_g0.5_b0.5	concat_x0.7_g0.5_b0.6	concat_x0.7_g0.5_b0.7
M1	0.7916	0.7904	0.7912	0.7889	0.7897	0.7922	0.7904	0.7869	0.7919	0.7925	0.7880	0.7917	0.7906	0.7903	0.7915	0.7899	0.7849	0.7935	0.7926	0.7930	0.7914	0.7909	0.7969	0.7898	0.7937	0.7953	0.7903	0.8008	0.7968	0.7952	0.7967	0.7956	0.7934	0.8035	0.7950	0.7912	0.7993	0.7990	0.7903	0.7957	0.7959	0.7881	0.7947	0.7917	0.7887	0.7978	0.7968	0.7914	0.8013	0.7957	0.7884	0.7981	0.7934	0.7926	0.7952	0.7978	0.7882	0.7924	0.7968	0.7881	0.7973	0.7932	0.7886	0.7964	0.7988	0.7909	0.7896	0.7940	0.7856	0.7924	0.8017	0.7913
M2	0.7731	0.7991	0.8117	0.7784	0.7986	0.8051	0.8010	0.8102	0.8079	0.7926	0.8027	0.8095	0.7972	0.7971	0.8125	0.8067	0.8020	0.8173	0.8030	0.8012	0.8099	0.8071	0.8038	0.8135	0.8095	0.8068	0.8177	0.8122	0.8064	0.8155	0.8077	0.8086	0.8183	0.8073	0.8039	0.8148	0.7819	0.8025	0.7965	0.7925	0.8059	0.8090	0.7999	0.8031	0.8127	0.7943	0.8045	0.8159	0.8028	0.8063	0.8135	0.8066	0.8091	0.8160	0.8012	0.8079	0.8133	0.8081	0.8101	0.8132	0.8081	0.8112	0.8207	0.8126	0.8123	0.8184	0.8072	0.8143	0.8189	0.8103	0.8151	0.8166
M3	0.7697	0.7752	0.7813	0.7749	0.7777	0.7813	0.7752	0.7769	0.7802	0.7741	0.7780	0.7805	0.7793	0.7769	0.7797	0.7773	0.7729	0.7826	0.7807	0.7799	0.7825	0.7769	0.7767	0.7834	0.7783	0.7774	0.7808	0.7772	0.7767	0.7805	0.7745	0.7783	0.7761	0.7736	0.7784	0.7820	0.7638	0.7746	0.7782	0.7686	0.7782	0.7780	0.7762	0.7802	0.7829	0.7729	0.7796	0.7773	0.7758	0.7768	0.7806	0.7735	0.7765	0.7784	0.7784	0.7716	0.7755	0.7733	0.7707	0.7788	0.7729	0.7767	0.7775	0.7726	0.7747	0.7748	0.7731	0.7749	0.7758	0.7762	0.7731	0.7725
M4	0.6554	0.6548	0.6617	0.6475	0.6570	0.6869	0.6929	0.6872	0.6831	0.6633	0.6638	0.6869	0.6974	0.6930	0.6767	0.6704	0.6861	0.6822	0.6853	0.6922	0.6822	0.6651	0.6711	0.6822	0.6677	0.6686	0.6817	0.6716	0.6719	0.6791	0.6684	0.6697	0.6613	0.6479	0.6683	0.6613	0.6377	0.6382	0.6722	0.6410	0.6795	0.6679	0.6802	0.6729	0.6707	0.6494	0.6497	0.6420	0.6468	0.6496	0.6682	0.6678	0.6475	0.6690	0.6606	0.6452	0.6455	0.6622	0.6579	0.6386	0.6552	0.6617	0.6458	0.6387	0.6592	0.6453	0.6079	0.6584	0.6470	0.6385	0.6598	0.6463
M5	0.7230	0.7249	0.7259	0.7225	0.7269	0.7259	0.7222	0.7267	0.7259	0.7225	0.7246	0.7259	0.7241	0.7243	0.7259	0.7242	0.7253	0.7259	0.7280	0.7243	0.7259	0.7280	0.7243	0.7259	0.7210	0.7259	0.7259	0.7183	0.7249	0.7259	0.7176	0.7259	0.7259	0.7178	0.7259	0.7259	0.7197	0.7253	0.7251	0.7199	0.7245	0.7234	0.7171	0.7177	0.7260	0.7207	0.7271	0.7260	0.7205	0.7177	0.7260	0.7191	0.7177	0.7260	0.7199	0.7177	0.7260	0.7191	0.7177	0.7260	0.7207	0.7179	0.7260	0.7183	0.7179	0.7235	0.7181	0.7179	0.7239	0.7182	0.7188	0.7265
M6	0.8666	0.8740	0.8776	0.8712	0.8760	0.8780	0.8723	0.8842	0.8806	0.8679	0.8793	0.8767	0.8802	0.8846	0.8836	0.8754	0.8830	0.8826	0.8803	0.8889	0.8817	0.8761	0.8922	0.8867	0.8822	0.8961	0.8896	0.8713	0.8958	0.8904	0.8696	0.8858	0.8911	0.8692	0.8855	0.8900	0.8593	0.8658	0.8787	0.8642	0.8813	0.8716	0.8696	0.8799	0.8761	0.8742	0.8786	0.8788	0.8788	0.8806	0.8766	0.8733	0.8775	0.8801	0.8672	0.8813	0.8799	0.8798	0.8821	0.8770	0.8772	0.8822	0.8795	0.8794	0.8813	0.8740	0.8658	0.8810	0.8821	0.8767	0.8814	0.8824
M7	0.6057	0.5680	0.5917	0.5606	0.5724	0.5922	0.5503	0.5849	0.5865	0.5523	0.5664	0.5928	0.5576	0.5643	0.5955	0.5721	0.5617	0.5837	0.5489	0.5806	0.5853	0.5609	0.5746	0.5823	0.5595	0.5698	0.5847	0.5487	0.5633	0.5739	0.5502	0.5593	0.5814	0.5481	0.5675	0.5844	0.5895	0.5630	0.5850	0.5525	0.5632	0.5763	0.6041	0.5780	0.5855	0.5483	0.5687	0.5803	0.5547	0.5728	0.5719	0.5587	0.5744	0.5704	0.5596	0.5690	0.5721	0.5600	0.5592	0.5833	0.5626	0.5529	0.5798	0.5581	0.5617	0.5685	0.5609	0.5666	0.5710	0.5623	0.5696	0.5618
M8	0.8237	0.8476	0.8452	0.8266	0.8515	0.8463	0.8452	0.8448	0.8416	0.8382	0.8392	0.8473	0.8330	0.8447	0.8423	0.8368	0.8401	0.8473	0.8405	0.8466	0.8420	0.8387	0.8427	0.8482	0.8346	0.8437	0.8431	0.8368	0.8425	0.8482	0.8378	0.8455	0.8447	0.8324	0.8445	0.8436	0.8246	0.8432	0.8400	0.8266	0.8410	0.8418	0.8339	0.8437	0.8478	0.8246	0.8446	0.8437	0.8434	0.8495	0.8468	0.8435	0.8401	0.8516	0.8412	0.8467	0.8523	0.8379	0.8391	0.8496	0.8411	0.8332	0.8406	0.8307	0.8363	0.8418	0.8253	0.8387	0.8415	0.8342	0.8387	0.8402
M9	0.8242	0.8409	0.8487	0.8343	0.8397	0.8469	0.8365	0.8445	0.8448	0.8299	0.8392	0.8472	0.8299	0.8431	0.8468	0.8357	0.8502	0.8458	0.8279	0.8485	0.8513	0.8310	0.8503	0.8494	0.8492	0.8507	0.8458	0.8265	0.8458	0.8532	0.8294	0.8518	0.8536	0.8294	0.8509	0.8418	0.8195	0.8445	0.8486	0.8255	0.8422	0.8489	0.8177	0.8461	0.8490	0.8217	0.8330	0.8463	0.8201	0.8382	0.8463	0.8197	0.8382	0.8472	0.8119	0.8343	0.8465	0.8182	0.8334	0.8501	0.8267	0.8362	0.8466	0.8229	0.8346	0.8446	0.8147	0.8347	0.8478	0.8145	0.8400	0.8435
M10	0.8806	0.8810	0.8825	0.8754	0.8891	0.8872	0.8934	0.8944	0.8866	0.8922	0.8764	0.8793	0.8902	0.8952	0.8812	0.8925	0.8927	0.8816	0.8861	0.8867	0.8878	0.8838	0.8955	0.8864	0.8912	0.8916	0.8925	0.8800	0.8946	0.8855	0.8748	0.8871	0.8855	0.8744	0.8934	0.8942	0.8793	0.8733	0.8708	0.8817	0.8785	0.8747	0.8865	0.8828	0.8824	0.8811	0.8841	0.8748	0.8822	0.8847	0.8746	0.8903	0.8930	0.8816	0.8948	0.8855	0.8753	0.8970	0.8787	0.8751	0.8825	0.8753	0.8897	0.8727	0.8841	0.8773	0.8789	0.8744	0.8741	0.8697	0.8740	0.8871
