dataset	log_n	knn_cp_10	knn_cg_10	cmargin_10	pmargin_10	col_gap_10	knn_cp_30	knn_cg_30	cmargin_30	pmargin_30	col_gap_30	paircorr_cp	paircorr_cg	knn_pg_10	col_std	col_erank
M1	3.452400	0.455716	0.427629	1.348905	2.686047	0.219209	0.302317	0.287191	0.836963	1.920209	0.185584	0.118637	0.090869	0.662597	0.125174	96.868713
M2	3.746634	0.535735	0.446147	1.591792	2.171004	0.211887	0.418047	0.343250	1.104464	1.691511	0.178191	0.303704	0.182206	0.577419	0.113371	97.672607
M3	3.905472	0.512096	0.439334	1.645390	2.825883	0.262935	0.433611	0.372029	1.232630	2.336377	0.228008	0.152218	0.215285	0.632273	0.136292	99.111336
M4	3.071882	0.311017	0.289915	0.971653	2.050556	0.223618	0.186751	0.172542	0.579272	1.365824	0.190098	0.145791	0.084863	0.528814	0.138000	79.853195
M5	3.034628	0.401847	0.392151	1.182563	2.945474	0.225080	0.320222	0.315451	0.802499	2.243269	0.188329	0.127443	0.191546	0.647276	0.143387	80.710732
M6	3.668293	0.432904	0.370659	1.551240	2.791436	0.311611	0.446069	0.378665	1.253813	2.265554	0.273144	0.078495	0.154037	0.599099	0.168875	89.292038
M7	3.927011	0.454052	0.402366	1.726020	2.485287	0.237756	0.383698	0.342837	1.381226	2.202600	0.209245	0.196682	0.095351	0.593825	0.115724	78.773125
M8	3.866346	0.411223	0.366957	1.825128	2.875991	0.188621	0.356110	0.338203	1.379333	2.486786	0.164826	0.201532	0.183281	0.622432	0.082622	101.099541
M9	3.700963	0.485248	0.447183	1.743378	3.201642	0.226093	0.422437	0.399290	1.286113	2.628782	0.193859	0.140472	0.240191	0.649054	0.107860	113.446556
M10	3.728273	0.328903	0.287213	1.436395	3.455678	0.244488	0.274207	0.259357	1.087047	2.958635	0.220430	0.092809	0.107152	0.639652	0.128693	86.483185
M11	3.375298	0.356974	0.330931	1.250188	3.217446	0.265756	0.321225	0.306068	0.957394	2.604793	0.235457	0.231796	0.135967	0.650274	0.162957	68.577919
M12	3.289812	0.313443	0.276347	0.955680	2.559971	0.233610	0.248675	0.227775	0.675068	2.015919	0.205756	0.100699	0.301064	0.591688	0.167861	87.715088
M13	3.446382	0.393345	0.377460	1.577630	2.429609	0.202232	0.229350	0.223626	0.905576	1.716721	0.169694	0.107284	0.129974	0.633166	0.089628	113.844963
M16	2.959518	0.302744	0.283644	0.899143	1.730982	0.163371	0.216502	0.210392	0.574494	1.207044	0.135378	0.345025	0.310941	0.486718	0.111157	105.144379
M17	2.729974	0.228492	0.192551	0.648694	1.407279	0.168205	0.210366	0.179702	0.454299	0.986157	0.143242	0.349789	0.446710	0.447672	0.146517	74.481033
M18	3.102434	0.260585	0.241785	0.830885	1.967186	0.168592	0.164982	0.152501	0.471840	1.311851	0.143082	0.094010	0.082319	0.565008	0.115855	115.691254
M19	3.123198	0.379217	0.343449	1.230745	2.068915	0.280076	0.286672	0.245658	0.865444	1.527576	0.237960	0.069880	0.273500	0.544955	0.167352	72.323692
M20	2.680336	0.396033	0.354489	1.273205	1.809287	0.170395	0.313013	0.268615	0.769701	1.213282	0.132629	0.241932	0.135755	0.550731	0.088757	86.952133
M21	3.273927	0.391644	0.351730	1.298757	1.998627	0.215381	0.288274	0.249743	0.846926	1.478629	0.180514	0.154982	0.156747	0.561150	0.119549	95.902550
M22	3.008174	0.264279	0.226300	1.042967	1.470084	0.159263	0.249231	0.230258	0.711701	1.146057	0.132709	0.156680	0.241497	0.408440	0.084683	104.415672
M23	3.009451	0.414090	0.359393	1.554093	2.043637	0.181150	0.315492	0.292205	0.959453	1.512646	0.148520	0.151684	0.207220	0.588845	0.084772	88.547157
M24	3.067443	0.402825	0.371062	1.377688	2.037383	0.195847	0.297003	0.259503	0.872764	1.380444	0.165033	0.254430	0.182314	0.645805	0.105989	78.462502
M25	2.093422	0.377419	0.370161	0.903443	1.059429	0.166483	0.407796	0.387097	0.444849	0.602843	0.106362	0.491397	0.389068	0.503226	0.109383	42.988552
M26	2.045323	0.355856	0.371171	0.573566	1.458302	0.183579	0.382883	0.399099	0.187240	0.637134	0.130832	-0.077817	0.144931	0.637838	0.166128	41.072781
