dataset	criterion	w0.0	w0.2	w0.3	w0.4	w0.5	w0.6	w0.7	w0.8	w1.0	w1.25	w1.5	w2.0
M1	dino_knn	0.592837	0.593437	0.592414	0.594919	0.594672	0.593931	0.592625	0.593190	0.592167	0.595413	0.595095	0.593719
M1	dino_sep	0.326819	0.327068	0.328137	0.328283	0.333451	0.331726	0.331165	0.329924	0.324172	0.327460	0.325529	0.322438
M1	dino_sil	0.201601	0.202017	0.202298	0.202214	0.205246	0.204578	0.204933	0.205874	0.204912	0.206289	0.205647	0.206028
M1	peg_knn	0.742766	0.742978	0.741602	0.742061	0.738144	0.737756	0.734827	0.736027	0.732428	0.734051	0.732816	0.730628
M1	peg_sep	0.174468	0.174218	0.174100	0.173458	0.174562	0.174103	0.173690	0.173829	0.171221	0.172413	0.172142	0.170510
M1	proj_knn	0.805963	0.806881	0.805293	0.804199	0.802576	0.802682	0.802999	0.804411	0.804587	0.801306	0.799577	0.795448
M1	proj_sep	0.374661	0.373645	0.374361	0.373376	0.375363	0.375048	0.374500	0.374384	0.373177	0.372222	0.371259	0.369539
M2	dino_knn	0.606326	0.607742	0.605018	0.607455	0.609642	0.611738	0.613978	0.615108	0.621505	0.621452	0.622097	0.620251
M2	dino_sep	0.298989	0.302610	0.302547	0.300777	0.302743	0.302634	0.301732	0.305915	0.304027	0.301899	0.302142	0.302667
M2	dino_sil	0.096246	0.092058	0.095705	0.097726	0.100155	0.101326	0.105303	0.104500	0.111831	0.111189	0.109817	0.109485
M2	peg_knn	0.726882	0.725573	0.723297	0.721631	0.721057	0.720179	0.720412	0.719229	0.716523	0.715161	0.713943	0.712832
M2	peg_sep	0.171397	0.171531	0.171907	0.168621	0.168369	0.168475	0.166766	0.167111	0.163197	0.161532	0.160239	0.160802
M2	proj_knn	0.861039	0.862616	0.862079	0.866039	0.869194	0.871380	0.873047	0.872330	0.880287	0.879050	0.879373	0.879337
M2	proj_sep	0.440394	0.439663	0.439658	0.438379	0.438695	0.438528	0.438129	0.439116	0.439090	0.438332	0.439489	0.440163
M3	dino_knn	0.734336	0.738289	0.736114	0.737034	0.736089	0.735293	0.737121	0.736238	0.736425	0.737432	0.733851	0.731315
M3	dino_sep	0.319757	0.316299	0.318038	0.317374	0.319107	0.319373	0.318722	0.319685	0.318226	0.316612	0.315831	0.316682
M3	dino_sil	0.159825	0.161626	0.156150	0.156505	0.154896	0.159358	0.158324	0.157537	0.157840	0.157252	0.154834	0.154655
M3	peg_knn	0.813463	0.815291	0.813016	0.812693	0.810803	0.809547	0.811101	0.809423	0.807907	0.807384	0.802287	0.798048
M3	peg_sep	0.186545	0.184889	0.185979	0.185477	0.186056	0.186040	0.185470	0.185869	0.185004	0.184477	0.184071	0.184668
M3	proj_knn	0.901193	0.904500	0.903966	0.904612	0.904401	0.902735	0.903742	0.902151	0.900385	0.901243	0.898633	0.894518
M3	proj_sep	0.416583	0.414543	0.415213	0.414113	0.414998	0.415676	0.415461	0.415739	0.413820	0.414506	0.412992	0.414245
