dataset	w0.0	w0.2	w0.3	w0.4	w0.5	w0.6	w0.7	w0.8	w1.0	w1.25	w1.5	w2.0	best_w	best	deployed
M1	0.791483	0.790516	0.788269	0.793469	0.796955	0.800091	0.795363	0.794295	0.795575	0.797902	0.793277	0.793908	0.6	0.800091	0.795363
M2	0.791569	0.800432	0.799047	0.803171	0.807049	0.807478	0.808377	0.803875	0.819916	0.820968	0.821571	0.827040	2.0	0.827040	0.808377
M3	0.769827	0.777702	0.776367	0.778789	0.778804	0.777360	0.780901	0.777511	0.775308	0.777211	0.775033	0.767278	0.7	0.780901	0.780901
M4	0.654821	0.658654	0.665676	0.656207	0.659449	0.637179	0.660610	0.637131	0.640413	0.610552	0.599319	0.596526	0.3	0.665676	0.660610
M5	0.727858	0.727858	0.727973	0.727973	0.725408	0.725333	0.718218	0.718471	0.721335	0.721274	0.702143	0.699547	0.3	0.727973	0.718218
M6	0.871553	0.873483	0.878617	0.884016	0.881258	0.877618	0.890792	0.889534	0.890569	0.885410	0.884848	0.889709	0.7	0.890792	0.890792
M7	0.630819	0.605842	0.595687	0.572844	0.565169	0.562674	0.560654	0.558473	0.550221	0.552615	0.559512	0.552046	0.0	0.630819	0.560654
M8	0.846242	0.846708	0.854524	0.844453	0.845147	0.842624	0.844003	0.835160	0.838206	0.834561	0.830732	0.830773	0.3	0.854524	0.844003
M9	0.838313	0.838103	0.838540	0.842183	0.847816	0.850140	0.846052	0.845998	0.825224	0.814601	0.812896	0.813020	0.6	0.850140	0.846052
M10	0.882920	0.882682	0.871785	0.885953	0.887963	0.888694	0.887711	0.895102	0.876233	0.879416	0.876998	0.854894	0.8	0.895102	0.887711
M11	0.900359	0.891941	0.902508	0.902759	0.903468	0.903650	0.908493	0.910639	0.900751	0.898476	0.901270	0.890459	0.8	0.910639	0.908493
M12	0.776186	0.777514	0.778966	0.783032	0.780988	0.785984	0.795397	0.776749	0.800618	0.791509	0.780886	0.790175	1.0	0.800618	0.795397
M13	0.798262	0.799269	0.794069	0.792805	0.781814	0.793396	0.790895	0.795096	0.783345	0.793317	0.781981	0.771049	0.2	0.799269	0.790895
M16	0.773807	0.745966	0.745641	0.767600	0.775472	0.777549	0.773908	0.772385	0.778662	0.782020	0.767772	0.773702	1.25	0.782020	0.773908
M17	0.840865	0.841904	0.839134	0.838099	0.842381	0.842381	0.854007	0.904938	0.882415	0.887475	0.894446	0.896079	0.8	0.904938	0.854007
M18	0.816359	0.810701	0.811368	0.811005	0.802410	0.798524	0.818760	0.797037	0.805751	0.815249	0.783084	0.780288	0.7	0.818760	0.818760
M19	0.724932	0.725526	0.730000	0.740124	0.730812	0.726911	0.753607	0.746354	0.759718	0.758995	0.741563	0.766773	2.0	0.766773	0.753607
M20	0.922527	0.922527	0.920259	0.918797	0.918797	0.917660	0.911504	0.915378	0.914606	0.908860	0.913872	0.910631	0.0	0.922527	0.911504
M21	0.750847	0.755401	0.751715	0.744268	0.750532	0.757718	0.762675	0.771597	0.771503	0.768634	0.764223	0.765727	0.8	0.771597	0.762675
M22	0.796133	0.790735	0.798498	0.796800	0.788394	0.787323	0.789611	0.790546	0.788169	0.787221	0.790657	0.793734	0.3	0.798498	0.789611
M23	0.723287	0.721347	0.723053	0.710196	0.739617	0.744818	0.744337	0.745467	0.736222	0.742013	0.741243	0.709177	0.8	0.745467	0.744337
M24	0.844686	0.864987	0.860106	0.866838	0.858758	0.867089	0.855747	0.842471	0.859844	0.860813	0.874889	0.854691	1.5	0.874889	0.855747
M25	0.865316	0.865316	0.865316	0.870682	0.870682	0.870682	0.870682	0.848719	0.848719	0.848719	0.848719	0.814166	0.4	0.870682	0.870682
M26	0.944767	0.944767	0.933629	0.933629	0.933629	0.933629	0.933629	0.933629	0.933629	0.933629	0.922454	0.922454	0.0	0.944767	0.933629
