dataset	w0.0	w0.2	w0.3	w0.4	w0.5	w0.6	w0.7	w0.8	w1.0	w1.25	w1.5	w2.0	best_w	best	deployed
M1	0.792405	0.793369	0.791721	0.791632	0.788901	0.791836	0.789482	0.789701	0.792602	0.791564	0.783714	0.783580	0.2	0.793369	0.789482
M2	0.790468	0.793018	0.798877	0.801177	0.802447	0.800127	0.801014	0.806033	0.814517	0.810229	0.820898	0.814528	1.5	0.820898	0.801014
M3	0.761453	0.764856	0.766619	0.761737	0.766179	0.765819	0.768381	0.769531	0.763211	0.762841	0.761885	0.760913	0.8	0.769531	0.768381
M4	0.683710	0.683710	0.655469	0.653373	0.642626	0.645895	0.644553	0.664295	0.609519	0.612163	0.605909	0.601351	0.0	0.683710	0.644553
M5	0.725503	0.725503	0.725503	0.725532	0.725532	0.727033	0.728147	0.728668	0.724787	0.719658	0.719482	0.714284	0.8	0.728668	0.728147
M6	0.857835	0.871332	0.870160	0.871450	0.870680	0.866535	0.866385	0.858960	0.862260	0.859548	0.858489	0.854970	0.4	0.871450	0.866385
M7	0.555497	0.556131	0.559729	0.557120	0.551126	0.564002	0.557560	0.564061	0.555979	0.562069	0.543740	0.527126	0.8	0.564061	0.557560
M8	0.834688	0.837486	0.829985	0.836933	0.838528	0.839545	0.832171	0.829387	0.825294	0.825902	0.831801	0.823263	0.6	0.839545	0.832171
M9	0.847302	0.839467	0.840617	0.829416	0.827074	0.829562	0.817215	0.824889	0.820805	0.821747	0.819646	0.811334	0.0	0.847302	0.817215
M10	0.866389	0.870625	0.876177	0.871475	0.874308	0.877468	0.873644	0.880031	0.861855	0.863454	0.853098	0.862771	0.8	0.880031	0.873644
M11	0.910608	0.902673	0.901534	0.900957	0.903442	0.897229	0.900050	0.901859	0.926756	0.902380	0.884464	0.902084	1.0	0.926756	0.900050
M12	0.814655	0.806040	0.818563	0.805691	0.815035	0.802239	0.794843	0.797888	0.796105	0.778905	0.791539	0.798981	0.3	0.818563	0.794843
M13	0.775841	0.779826	0.789308	0.780223	0.788733	0.785422	0.781067	0.782560	0.776129	0.784279	0.760756	0.758935	0.3	0.789308	0.781067
M16	0.746837	0.747710	0.750333	0.752000	0.751722	0.774112	0.776110	0.777812	0.774818	0.780124	0.780645	0.783091	2.0	0.783091	0.776110
M17	0.841073	0.836812	0.831650	0.810558	0.821617	0.828819	0.830345	0.833124	0.852956	0.852536	0.843511	0.835218	1.0	0.852956	0.830345
M18	0.786473	0.802620	0.804976	0.803605	0.791890	0.801011	0.796223	0.791220	0.790828	0.787952	0.785957	0.788925	0.3	0.804976	0.796223
M19	0.721264	0.716312	0.714060	0.718219	0.718734	0.704269	0.708931	0.729479	0.728096	0.715409	0.713601	0.710005	0.8	0.729479	0.708931
M20	0.913915	0.915050	0.915050	0.911923	0.911923	0.912887	0.913611	0.911504	0.913853	0.914121	0.916235	0.916478	2.0	0.916478	0.913611
M21	0.762046	0.755573	0.767268	0.769507	0.769977	0.770135	0.776169	0.765939	0.760818	0.770197	0.763950	0.767997	0.7	0.776169	0.776169
M22	0.765044	0.764629	0.767263	0.771637	0.772853	0.779161	0.780776	0.778649	0.773603	0.772009	0.772652	0.771766	0.7	0.780776	0.780776
M23	0.718766	0.715277	0.721852	0.701167	0.694939	0.699755	0.727615	0.732378	0.692213	0.704889	0.718747	0.691977	0.8	0.732378	0.727615
M24	0.780652	0.795794	0.815824	0.825073	0.853942	0.828245	0.840245	0.843656	0.841536	0.845617	0.844676	0.850118	0.5	0.853942	0.840245
M25	0.853019	0.880969	0.880969	0.880969	0.836616	0.810218	0.810218	0.822462	0.810218	0.810218	0.821417	0.805235	0.2	0.880969	0.810218
M26	0.937097	0.937097	0.937097	0.937097	0.937097	0.937097	0.937097	0.937097	0.937097	0.937097	0.941437	0.903282	1.5	0.941437	0.937097
