dataset	w0.0	w0.2	w0.3	w0.4	w0.5	w0.6	w0.7	w0.8	w1.0	w1.25	w1.5	w2.0
M1	0.916208	0.923460	0.910752	0.910757	0.908753	0.910229	0.916130	0.921417	0.920422	0.920674	0.926205	0.912967
M2	0.878085	0.882843	0.879688	0.879280	0.881431	0.892716	0.891086	0.892425	0.893273	0.893020	0.901754	0.907179
M3	0.900056	0.893499	0.896476	0.900861	0.901874	0.898128	0.899455	0.900287	0.886421	0.889057	0.876940	0.877814
M4	0.830292	0.827657	0.837990	0.831844	0.834358	0.876481	0.880472	0.826244	0.834785	0.838530	0.816517	0.819372
M5	0.965453	0.963425	0.963455	0.967371	0.965105	0.958567	0.958295	0.958971	0.955071	0.959697	0.969371	0.957882
M6	0.911765	0.911299	0.908273	0.913892	0.914847	0.914172	0.917233	0.918183	0.931254	0.923389	0.910826	0.915832
M7	0.859254	0.859323	0.853606	0.871422	0.882016	0.873627	0.869300	0.877251	0.871349	0.856348	0.866429	0.841307
M8	0.898106	0.889338	0.885609	0.892490	0.897699	0.895527	0.899584	0.902109	0.909904	0.902683	0.901246	0.890763
M9	0.910422	0.919111	0.923997	0.923345	0.923948	0.926562	0.928801	0.927127	0.925813	0.919081	0.917668	0.920160
M10	0.943870	0.942040	0.913059	0.925115	0.920972	0.925466	0.928118	0.908146	0.917072	0.920592	0.907891	0.902478
M11	0.943926	0.945678	0.944348	0.946428	0.944940	0.946799	0.946586	0.941756	0.944622	0.951269	0.950635	0.945848
M12	0.907470	0.911903	0.906537	0.895762	0.892183	0.887235	0.887961	0.887413	0.884008	0.883914	0.889877	0.876972
M13	0.898329	0.892219	0.891965	0.889343	0.894024	0.893078	0.905005	0.905728	0.907082	0.911230	0.900811	0.896169
M16	0.933536	0.933993	0.931328	0.949848	0.942873	0.927282	0.935088	0.930648	0.928921	0.930453	0.930761	0.918781
M17	0.912783	0.916799	0.917323	0.915728	0.912495	0.906417	0.901596	0.873235	0.897119	0.888684	0.873925	0.893689
M18	0.896236	0.892401	0.878660	0.885973	0.886804	0.890013	0.893151	0.886676	0.884108	0.865506	0.874081	0.875685
M19	0.899980	0.888201	0.898045	0.912029	0.901674	0.894211	0.908035	0.885267	0.882549	0.880362	0.886235	0.875740
M20	0.954205	0.955832	0.950478	0.960058	0.942332	0.947714	0.944991	0.947790	0.952369	0.947742	0.944174	0.951876
M21	0.879338	0.867020	0.867714	0.865727	0.860216	0.866020	0.855289	0.856405	0.862878	0.864282	0.862047	0.841467
M22	0.857663	0.853540	0.849275	0.858716	0.839973	0.841565	0.822880	0.826589	0.820172	0.819144	0.803046	0.807203
M23	0.869356	0.855723	0.854359	0.842267	0.857214	0.847813	0.837046	0.833611	0.843296	0.844361	0.826995	0.832029
M24	0.878309	0.868495	0.870329	0.884553	0.894879	0.906395	0.907962	0.916850	0.908977	0.908781	0.904220	0.932786
M25	0.883056	0.882200	0.893763	0.918362	0.925797	0.928523	0.931299	0.934122	0.917694	0.941181	0.941181	0.939151
M26	0.939640	0.939640	0.932512	0.942305	0.917833	0.913597	0.907525	0.907601	0.936238	0.912879	0.889913	0.929517
