target	name	zeroshot	blend0.60
M1	1-austin	0.7514	0.8097
M2	2-sarah	0.6368	0.8020
M3	3-eva	0.6865	0.7723
M4	4-mia	0.4982	0.6522
M5	5-lily	0.6031	0.7051
M6	6-sabrina	0.7153	0.8879
M7	7-autumn	0.5312	0.5344
M8	8-evie	0.6675	0.8471
M9	9-darshelle	0.7362	0.8146
M10	10-alina	0.7447	0.9020
M11	11-amanda	0.8128	0.9029
M12	12-anna	0.7174	0.7835
M13	13-hunny	0.6589	0.7750
M14	14-vixen-partial	0.5009	0.5976
M15	15-verity-partial	0.5010	0.5843
M16	16-zoe	0.6505	0.7700
M17	17-dusha	0.6352	0.8393
M18	18-railey	0.6575	0.7714
M19	19-andreea	0.6825	0.7321
M20	20-salome	0.7251	0.9215
