target	name	zeroshot	blend0.60
M1	1-austin	0.7514	0.6664
M2	2-sarah	0.6368	0.6823
M3	3-eva	0.6865	0.6465
M4	4-mia	0.4982	0.4434
M5	5-lily	0.6031	0.5187
M6	6-sabrina	0.7153	0.7452
M7	7-autumn	0.4732	0.4181
M8	8-evie	0.6675	0.5321
M9	9-darshelle	0.7362	0.6822
M10	10-alina	0.7447	0.4492
M11	11-amanda	0.8128	0.7113
M12	12-anna	0.7174	0.5027
M13	13-hunny	0.6589	0.5430
M16	16-zoe	0.6505	0.5891
M17	17-dusha	0.6352	0.4684
M18	18-railey	0.6428	0.4867
M19	19-andreea	0.6825	0.6608
M20	20-salome	0.7251	0.6492
M21	21-alix	0.6822	0.6546
M22	22-alexis	0.6041	0.5904
M23	23-gianna	0.6970	0.5825
M24	24-valentina	0.7185	0.5939
M25	25-rae	0.7095	0.6238
M26	26-zdank	0.7215	0.4783
