target	name	zeroshot	blend0.60
M1	1-austin	0.7514	0.7908
M2	2-sarah	0.6368	0.8145
M3	3-eva	0.6865	0.7741
M4	4-mia	0.4982	0.6209
M5	5-lily	0.6031	0.7321
M6	6-sabrina	0.7153	0.8712
M7	7-autumn	0.4732	0.5822
M8	8-evie	0.6675	0.8382
M9	9-darshelle	0.7362	0.8268
M10	10-alina	0.7447	0.8940
M11	11-amanda	0.8128	0.9088
M12	12-anna	0.7174	0.7896
M13	13-hunny	0.6589	0.7954
M16	16-zoe	0.6505	0.7701
M17	17-dusha	0.6352	0.8382
M18	18-railey	0.6428	0.8190
M19	19-andreea	0.6825	0.7274
M20	20-salome	0.7251	0.9127
M21	21-alix	0.6822	0.7491
M22	22-alexis	0.6041	0.7927
M23	23-gianna	0.6970	0.7458
M24	24-valentina	0.7185	0.8478
