dataset	base	ceil_k5	ceil_k10	ceil_k20	ceil_k40	ceil_k80	recall_k5	recall_k10	recall_k20	recall_k40	recall_k80	acc_p100	acc_p95	acc_p90	acc_p85	acc_p80	acc_p70
M1	0.7978	0.8522	0.8805	0.9085	0.9263	0.9439	0.3627	0.5819	0.7754	0.8659	0.9117	0.9263	0.2624	0.1615	0.1237	0.0929	0.0783
M2	0.7980	0.8550	0.9037	0.9398	0.9586	0.9707	0.2728	0.4740	0.7315	0.8873	0.9416	0.9586	0.2454	0.1591	0.1215	0.1041	0.0809
M3	0.7661	0.7983	0.8239	0.8411	0.8917	0.9097	0.1682	0.3061	0.5135	0.7413	0.8668	0.8917	0.2174	0.1415	0.1097	0.0947	0.0743
M4	0.6474	0.7458	0.8030	0.8526	0.8717	0.9070	0.3661	0.5265	0.6676	0.7871	0.8673	0.8717	0.2828	0.1705	0.1283	0.1106	0.0765
M5	0.7148	0.7461	0.7580	0.7727	0.8134	0.8679	0.2005	0.3422	0.5254	0.6958	0.8788	0.8134	0.3116	0.1844	0.1430	0.1174	0.0860
M6	0.8892	0.9208	0.9422	0.9472	0.9571	0.9737	0.1936	0.3620	0.6256	0.8554	0.9220	0.9571	0.2627	0.1447	0.1086	0.0950	0.0746
M8	0.8374	0.8786	0.9198	0.9222	0.9414	0.9610	0.1397	0.2632	0.4660	0.7201	0.8826	0.9414	0.2212	0.1385	0.1057	0.0914	0.0709
M9	0.8128	0.8630	0.8833	0.8812	0.9115	0.9762	0.1758	0.3114	0.5212	0.7785	0.9378	0.9115	0.2348	0.1559	0.1268	0.1060	0.0868
M10	0.9010	0.9123	0.9273	0.9531	0.9769	0.9864	0.1516	0.2880	0.5206	0.7934	0.9145	0.9769	0.2309	0.1344	0.1022	0.0847	0.0646
M11	0.9039	0.9368	0.9440	0.9571	0.9771	0.9935	0.2004	0.3732	0.6351	0.8931	0.9572	0.9771	0.2660	0.1384	0.1103	0.0942	0.0704
M12	0.7920	0.8266	0.8780	0.9442	0.9664	0.9834	0.2486	0.4363	0.6937	0.8868	0.9430	0.9664	0.2738	0.1602	0.1252	0.0943	0.0789
M13	0.7895	0.8463	0.8891	0.9180	0.9689	0.9842	0.4299	0.6506	0.8464	0.9360	0.9619	0.9689	0.2943	0.1793	0.1352	0.1111	0.0932
M16	0.7691	0.8493	0.8839	0.9032	0.9942	0.9981	0.5348	0.7206	0.8582	0.9679	0.9930	0.9942	0.3484	0.1836	0.1292	0.1220	0.0852
M17	0.8389	0.9129	0.9449	0.9932	0.9946	0.9968	0.7116	0.8965	0.9887	0.9936	0.9965	0.9946	0.3991	0.2320	0.1417	0.1003	0.0901
M18	0.7659	0.8618	0.8963	0.9217	0.9685	0.9794	0.4240	0.6588	0.8350	0.9223	0.9602	0.9685	0.2666	0.1628	0.1212	0.0971	0.0782
M19	0.7335	0.8418	0.8706	0.9082	0.9339	0.9838	0.4428	0.6517	0.8480	0.9410	0.9820	0.9339	0.3058	0.2064	0.1641	0.1281	0.1005
M20	0.9211	0.9484	0.9580	0.9964	0.9990	1.0000	0.4661	0.6680	0.9038	0.9990	1.0000	0.9990	0.3267	0.1900	0.1446	0.1097	0.0814
