dataset	base	m1.5_q25	m1.5_median	m1.5_q75	m1.5_mean	m1.5_max	m1.5_relmedian	m2_q25	m2_median	m2_q75	m2_mean	m2_max	m2_relmedian	m3_q25	m3_median	m3_q75	m3_mean	m3_max	m3_relmedian
M7	0.5694526353033008	0.7281639292832224	0.7080063622607348	0.7221375795019591	0.7182897492921011	0.7205001584725561	0.5927814438409073	0.6852575805937592	0.6711611180387531	0.682784682118788	0.7011944838477921	0.3317728088321223	0.41439384653572864	0.6573732940335424	0.6680671607441042	0.6499289147212814	0.6532907303024929	0.19649314744328625	0.4047404341245822
M3	0.7782639461601566	0.47041328491764317	0.4627470665996357	0.42036772604119566	0.43991949068639224	0.1709320053728309	0.214479724398645	0.3770483378894656	0.4083094784478958	0.40740698487617943	0.3759774238757524	0.1010266747270671	0.17125714550114413	0.3757380588035725	0.39893398806811553	0.3649814751549644	0.3532333322494352	0.05581786871327387	0.1397939176630319
M8	0.8249229565706286	0.728687091316941	0.7592807785914404	0.7593400227940756	0.7318085845265512	0.6469087039675587	0.6346903024548799	0.6920298629120895	0.7100361722226317	0.7108166801965359	0.7088705053925596	0.48125984953926987	0.5484934903683775	0.6644604312179755	0.6467232029267187	0.6549953241198347	0.647799535401478	0.0933032294436096	0.381114164632375
M2	0.8097402839736081	0.6546473720638778	0.6723264264236212	0.6544549333126752	0.6814577764292351	0.39921561376865333	0.44661350540788874	0.6258715836511214	0.581734780529083	0.613725641841395	0.5667643861903228	0.11280106182575825	0.2996813597240878	0.6194134138840235	0.6003165575258038	0.5365811989456798	0.5657368460313149	0.04328268318816159	0.11305770268560669
M9	0.8245017447460676	0.8182440411604409	0.7963546078968873	0.7974521333060258	0.7986872882588211	0.613308323264668	0.7512760502758338	0.8017001894318903	0.796989231774426	0.7905184117319549	0.7994728268322585	0.3669957295436046	0.7049353897397913	0.8025328720309235	0.7917842861426944	0.7744131357073604	0.7968537840010975	0.34665357354074566	0.5863905240465096
M10	0.880916412072187	0.7666852940600575	0.7867132511509928	0.803469126633353	0.7817867042785644	0.8066511680735928	0.7431803625302269	0.7366298811085469	0.7632462332500458	0.7972762161033259	0.7731871456079672	0.6959742229823273	0.6999726807117997	0.7159890467085239	0.73165066062509	0.7748572482274152	0.7669511404600706	0.6076083460533634	0.610285084311024
M6	0.871243998804917	0.7761744169315608	0.7815097775032542	0.7722766651228149	0.7848140219771099	0.6454271774534648	0.616974490663966	0.7159975198686528	0.7570752235711793	0.7084445337892036	0.7115262214082383	0.5106496675266321	0.581348768769457	0.712413621627446	0.7142471147137477	0.6758925343916174	0.6931947563560705	0.14241229229110441	0.3657830449615996
M1	0.7871980177876619	0.6907744831145292	0.6833979630431888	0.6469048460103953	0.6812370960831328	0.14895319652045869	0.32115838597848306	0.6762461172496511	0.6418541191359417	0.6070196939290443	0.6271228724962951	0.049573448021581305	0.1826669513326206	0.6792656302784242	0.6396669143007647	0.6015477124919256	0.6236096651167141	0.03696568761926337	0.19080162644830487
M4	0.6650967055961272	0.6190203084828066	0.6016556057935596	0.585222178354702	0.6121488399645025	0.14281344189987377	0.3215180861223628	0.6334928245123536	0.6184282210147652	0.5859222576096025	0.6194301451738299	0.06988693650638017	0.23625571633773865	0.6275746468794444	0.6155119892328932	0.5765644382206467	0.6160696393696147	0.05546124914112087	0.2415193571904378
M5	0.7156584600009376	0.9007136879615435	0.909673887206683	0.9138942393241214	0.9073146317999367	0.8740075076996864	0.9413678848554238	0.9189046332350869	0.9105813198459577	0.896464698164507	0.9056154678500897	0.7580869393811174	0.9089505934434218	0.9169479154587687	0.9087839735054266	0.8979374315416285	0.9116865476518028	0.6747562149273689	0.9120029603006091
M11	0.9064656198987668	0.7629186518749016	0.7650307979282727	0.7865407135921	0.7591611799476069	0.5509191842099956	0.7922380081946369	0.7468691170508874	0.7523139642934902	0.7594489170465568	0.7556360425490152	0.38334485111729993	0.6691256977687557	0.7066279329917703	0.7319121250993481	0.6821648689372782	0.7339071074563871	0.170397092857236	0.24847067819371768
M12	0.7944257985680244	0.5848059868837261	0.5873818723683754	0.5992063403932958	0.6106850232473365	0.37975642290793654	0.49341570413306496	0.5701502948462576	0.5576825997871276	0.5523588752676774	0.5307188394952249	0.22068190790886238	0.44856619970991457	0.5618052719460618	0.4331233583378576	0.4112238902679724	0.4324872986737242	0.02247915160791139	0.3630830672129785
M13	0.7798204091957782	0.7115461238133733	0.7134492133234639	0.699835626558346	0.711593919652737	0.3861886529226315	0.39188635959250223	0.6894248309265182	0.6816434327542418	0.6776523334862058	0.6786669406136113	0.1647067693086229	0.2624803653420111	0.6857498195599789	0.6841721344899017	0.6789792917504869	0.68799981374727	0.15133062985674545	0.2645153323770398
M16	0.7798619938858447	0.6987627215452883	0.7048102496065646	0.6985580981613064	0.6659215866426917	0.3483947500691654	0.5991716912192123	0.7080324467920485	0.712148661226354	0.6991986772684091	0.6740912595491486	0.3243052864394719	0.6007794311503978	0.7080324467920485	0.7115601680476176	0.6991986772684091	0.6740912595491486	0.3243052864394719	0.6007794311503978
M17	0.8286426619564213	0.7272844550258799	0.7197257602808582	0.6958603352121258	0.7131216041650139	0.1835417933694189	0.37988932743414455	0.7380559577833408	0.7106247161992276	0.6786792230005427	0.7123535599341705	0.10979135350813671	0.34932759700631466	0.7380559577833408	0.7106247161992276	0.6749832410084494	0.7131216041650139	0.10979135350813671	0.3417581426654872
M18	0.8178293914218788	0.7924895525606651	0.7980998602345741	0.8162236880594717	0.8011661374954209	0.32214625986877765	0.6826094158574829	0.78829345585524	0.7788509620181611	0.7791105542390673	0.7774521616709229	0.10277212689810243	0.40395071753851963	0.7850489741175701	0.7587324485450221	0.7551189360704018	0.7894478389584533	0.05185819019790824	0.3908028964338284
M19	0.7524556916371945	0.7761885075757055	0.7488401365621866	0.7250399681849325	0.7748995354159721	0.4479070372704157	0.7122658493926314	0.7638498528614188	0.7370749098634473	0.6998450901308347	0.7515201536301254	0.3190403775774791	0.6599743256347574	0.7670202441068703	0.7370749098634473	0.6998450901308347	0.7515201536301254	0.3190403775774791	0.6577164533856333
M20	0.9142505807396262	0.7824830115543259	0.7705103445431	0.6644399988280252	0.8204348297641715	0.4630615022458993	0.7190281317868796	0.7821215096940776	0.7764035234370336	0.6550931982153062	0.7940052384372961	0.30333947324211763	0.6529986570835814	0.7821215096940776	0.7719026334137915	0.6429966458882771	0.7940052384372961	0.30333947324211763	0.6649327040621754
M21	0.765037766210234	0.714333654183733	0.6253485286523673	0.647044505273861	0.6929573778225844	0.08633393770751746	0.45389235584772203	0.623308830636457	0.5847590289655537	0.5421006351012249	0.5603377680887482	0.028984411796848755	0.31912230742295555	0.616676327370596	0.5589371899535956	0.44587799213001494	0.5637342540684704	0.016371956628385635	0.11970291665779635
