dataset	n	same	bi_acc	ver_acc	ver_P	ver_R	hp_P	hp_R	base_ari	ver_ari
M1	76094.0000	0.2540	0.9054	0.8867	0.7528	0.8248	0.8954	0.7585	0.7978	0.7385
M2	147163.0000	0.3712	0.7489	0.7681	0.6291	0.9142	0.6832	0.8911	0.7980	0.7855
M3	211769.0000	0.5201	0.7952	0.8182	0.8023	0.8631	0.8214	0.8451	0.7661	0.7131
M4	32168.0000	0.1820	0.9102	0.9110	0.8400	0.6308	0.9398	0.5464	0.6474	0.5519
M5	27386.0000	0.4105	0.8767	0.8891	0.9689	0.7541	0.9914	0.6538	0.7148	0.6604
M6	111971.0000	0.5903	0.7636	0.8005	0.9622	0.6892	0.9734	0.6334	0.8892	0.6996
M8	182099.0000	0.6902	0.8410	0.8419	0.8772	0.8963	0.9325	0.8017	0.8374	0.7931
M9	130857.0000	0.5202	0.9082	0.9008	0.9150	0.8922	0.9488	0.8540	0.8128	0.8158
M10	131532.0000	0.7295	0.7491	0.7991	0.9000	0.8152	0.9282	0.7077	0.9010	0.7294
M11	58682.0000	0.5955	0.7840	0.8697	0.9703	0.8059	0.9886	0.6909	0.9039	0.8119
M12	46850.0000	0.4072	0.8312	0.8481	0.8772	0.7291	0.9356	0.6237	0.7920	0.7049
M13	75605.0000	0.2185	0.8877	0.8534	0.6258	0.8185	0.7584	0.7453	0.7895	0.7252
M16	22955.0000	0.1207	0.9418	0.9334	0.6901	0.8134	0.8225	0.7441	0.7691	0.7784
M17	11992.0000	0.1169	0.9544	0.9577	0.8992	0.7190	0.9550	0.6205	0.8389	0.7398
M18	35084.0000	0.2151	0.8863	0.8831	0.7356	0.7124	0.8656	0.5717	0.7659	0.6320
M19	30856.0000	0.1860	0.9131	0.8977	0.6923	0.8100	0.8040	0.7070	0.7335	0.7098
M20	10234.0000	0.1929	0.9669	0.9585	0.8945	0.8896	0.9819	0.8247	0.9211	0.9132
