dataset	ctrl	layer	delta
M1	0.793569	0.798443	0.004874
M2	0.804622	0.812614	0.007993
M3	0.771253	0.786960	0.015707
M4	0.633709	0.633690	-0.000018
M5	0.710566	0.706730	-0.003836
M6	0.880142	0.874247	-0.005895
M8	0.828563	0.838822	0.010258
M9	0.824785	0.820747	-0.004038
M10	0.855751	0.853649	-0.002102
M11	0.900004	0.913937	0.013933
M12	0.795729	0.806144	0.010415
M13	0.785996	0.818647	0.032651
M16	0.734072	0.755196	0.021124
M17	0.863497	0.858908	-0.004589
M18	0.801799	0.822660	0.020862
M19	0.717445	0.747954	0.030509
M20	0.847874	0.865598	0.017724
M21	0.747496	0.748729	0.001233
M22	0.741980	0.738195	-0.003785
M23	0.737403	0.746559	0.009156
M24	0.855173	0.804161	-0.051012
M25	0.865316	0.872924	0.007608
M26	0.924490	0.932376	0.007886
M27	0.505089	0.579333	0.074244
