dataset	n_grouped	N	base	zsL_w0.25	zsL_w0.5	zsL_w1
M1	2797	248	0.7919065096521098	0.7965433498250555	0.8016319004749429	0.7961188297781422
M2	5548	361	0.8065176497788762	0.8114762596059134	0.8164120252879049	0.8238246111508298
M3	8023	404	0.7783574314452938	0.7834792603768942	0.7827834552864681	0.7835794031059288
M4	1180	161	0.6650967055961272	0.6655978559037296	0.6678636074859085	0.6535499542213287
M5	1077	92	0.7154869746281226	0.7154869746281226	0.7227082688450466	0.7229874320203086
M6	4580	174	0.8811662311890806	0.8699249412828383	0.8837065444434387	0.8848481998763514
M8	7345	210	0.8248590990086616	0.8267536563445561	0.829273022580072	0.8280706466965211
M9	4955	322	0.8150684692991081	0.8150684692991081	0.8215320400816786	0.8181428804348484
M10	5349	136	0.880916412072187	0.8672418910751712	0.8678699428265614	0.8725226383461842
M11	2353	95	0.9089265839639782	0.9020368358923696	0.9086439965337383	0.9154224821439348
M12	1825	126	0.7994200889186736	0.7921274533596577	0.7911752795326699	0.7972313171235408
M13	2752	302	0.7722770647434337	0.7715554825915012	0.7826415169823732	0.7875940719428141
M16	858	206	0.7792406751708053	0.783756785778874	0.7857478988661201	0.7832882575640175
M17	489	109	0.851113812882002	0.851113812882002	0.8493005151326908	0.8413384571621335
M18	1266	142	0.8178293914218788	0.816552714961632	0.8173040473846706	0.8130514198022244
M19	1219	216	0.7207243658919991	0.7185804481939463	0.7230609795000807	0.7261327141866692
M21	1649	177	0.7545917830803676	0.7480709550971038	0.7445170270657685	0.7449288682432409
M22	749	128	0.7125857401228818	0.7130750538814556	0.7590770755177324	0.7560081590226115
M23	1022	46	0.7596713061413908	0.7519445805966094	0.7320108120041436	0.7356111389739526
M24	1168	64	0.8531820764931354	0.8191693710616477	0.8101550350856688	0.838270517937323
M25	124	44	0.8591937344511262	0.8591937344511262	0.8591937344511262	0.8904444141160921
M26	97	24	0.9419188071542942	0.9419188071542942	0.9419188071542942	0.9419188071542942
