dataset	base	L42_mean|joint	L42_mean|peg	L42_mean|both	L42_gem3|joint	L42_gem3|peg	L42_gem3|both	L42_attnpool|joint	L42_attnpool|peg	L42_attnpool|both	L44_mean|joint	L44_mean|peg	L44_mean|both	L44_gem3|joint	L44_gem3|peg	L44_gem3|both	L44_attnpool|joint	L44_attnpool|peg	L44_attnpool|both	L46_mean|joint	L46_mean|peg	L46_mean|both	L46_gem3|joint	L46_gem3|peg	L46_gem3|both	L46_attnpool|joint	L46_attnpool|peg	L46_attnpool|both	L47_mean|joint	L47_mean|peg	L47_mean|both	L47_gem3|joint	L47_gem3|peg	L47_gem3|both	L47_attnpool|joint	L47_attnpool|peg	L47_attnpool|both
M1	0.8157837086292336	0.8150589060994585	0.8193879104538406	0.815502399465045	0.8139163311360642	0.8163781756204803	0.8180839780146658	0.8199293444559715	0.8189197736386749	0.8217991312069293	0.8171539776452007	0.8210117350059285	0.8142906807946141	0.8171784773004634	0.8207871814277738	0.8148661947052066	0.8195962160940969	0.8192069644616794	0.8174097913133015	0.8156869992287901	0.8233324306897449	0.8183593023558288	0.8181854300598798	0.8240028877430448	0.8209187304280872	0.817451368389044	0.8233578983506783	0.8146700983078717	0.8212453524655225	0.8223433676109413	0.8198037306989234	0.815825245485491	0.8193826310759309	0.8191562120053569	0.8204161733311763	0.8190584370330248	0.820232389638856
M2	0.8325236684257434	0.8360227490424131	0.8324856615669242	0.8304927520435884	0.8283918933133346	0.827335355340331	0.8267717207686626	0.8348515799525639	0.8313868495090875	0.838097044497008	0.8310631803538197	0.832870634763954	0.8351696119649008	0.8268621005234178	0.8218775586485657	0.8263912435244195	0.834240853156323	0.8295969956964524	0.8367686903398579	0.8263920706214534	0.8315801393409905	0.8296807553012665	0.832016697067574	0.8305722296436201	0.8247941859669744	0.8357959286048506	0.827455679995429	0.8294512177990376	0.8276521394727994	0.8336388514472254	0.8351659454052135	0.8286189302203324	0.8318433892871129	0.8289713923721531	0.8328976371207752	0.8307932295545973	0.8394472363566569
M3	0.8089726867820068	0.8099069025549539	0.8054658988381821	0.8165592189023533	0.8045136659753043	0.7945335574385983	0.7962040331751421	0.8118393039337723	0.8071880877956855	0.8007033938815828	0.8078800916630456	0.8005685935451107	0.8054513532473807	0.8028068294658736	0.7927112521282369	0.7958586057089292	0.8107699212966291	0.8012955877848812	0.8016950327730082	0.8088412737690213	0.813724605389465	0.8180771605803658	0.8015538612404225	0.7942854212944158	0.8019334789811549	0.8053388522581897	0.8125967098090325	0.8057674264215653	0.8081135892784101	0.8120979267176215	0.8113891364353317	0.803810777680377	0.8061670278956155	0.8137412566894371	0.8099571755923323	0.8080944467105323	0.8052189352729517
M4	0.6299908758503059	0.6699974965822402	0.6600957923789148	0.6506699514091158	0.6364924035594681	0.6229180071181342	0.6509936874856755	0.6696806171555508	0.6852904764427489	0.6864843301611196	0.6750712650413084	0.6502528506913353	0.6590215792022414	0.6420744703299789	0.6544265150076205	0.6495780388691208	0.6520286135373533	0.6516720050280326	0.6859730758992186	0.6768242637915197	0.6593429244430571	0.6587553497025217	0.6471387781661623	0.6596121989528818	0.6574567501210969	0.6722256036812226	0.6969204107446624	0.6825762642252697	0.6729608770391572	0.657036631254041	0.6625381021369818	0.6581154079541922	0.6949877371399383	0.6606370207345027	0.6548302514077601	0.6881398386141473	0.6842886793270032
M5	0.7109099486235801	0.7201573151575678	0.7244748093513893	0.7258917412810404	0.7155651172582954	0.7214627636034749	0.7318926725862915	0.725008160592125	0.719517507842683	0.727115422521937	0.7116345801744834	0.7291180790842476	0.7319035585265096	0.714613792431566	0.7266611305602533	0.7276390147375954	0.7261992241233646	0.7135340974534041	0.7253183830667657	0.7131041007802951	0.7197727064165329	0.7217561267861148	0.7123468146688914	0.7226220242057722	0.7250903989092669	0.7255556690842021	0.7148467054505597	0.7235440181143244	0.7149991625269553	0.7208851773446555	0.7327780501071132	0.7150493124342504	0.7158854614148995	0.7302152451445948	0.7270414404625919	0.7222731226230136	0.7233769322565005
M6	0.8915281838692499	0.9002864678151651	0.88983579167881	0.8890048562532443	0.8935350511289312	0.8890761320721129	0.8918424579844432	0.9036905681667777	0.8999675083221105	0.8931230669606658	0.8986515031789684	0.8898040875272913	0.8881026286583891	0.8919503051982663	0.8920935150833623	0.8855899016710128	0.8956434956439793	0.8800328248044783	0.8776669496729299	0.8959661072054015	0.8963295929679698	0.8908939875498719	0.8938310967759632	0.8904943343993837	0.888196717488311	0.8972278030243955	0.8801786766412864	0.874235233752509	0.8973824240833347	0.893878375098489	0.8909808208645064	0.8936710391056317	0.8970095739095542	0.8975293662189475	0.8933977422905867	0.8896321975938697	0.8838934469034182
M7	0.5792051332782616	0.5722071183922769	0.567795785462687	0.5784286416338064	0.5769407773682382	0.5739289710801353	0.588092987095272	0.5964112133237776	0.5814253352705534	0.582768794281654	0.5664344675018428	0.5861902481258223	0.5918865501773912	0.584565648638613	0.5830782875455637	0.5905278567237439	0.5804141731448463	0.5965181920280802	0.5954875554162394	0.5904753438541153	0.5822101287381265	0.5966367115589851	0.5877568279080002	0.5706437944640662	0.5817742742533805	0.5889679983467971	0.5968946944333368	0.6013174978560609	0.5690819382121394	0.5729385887314045	0.5704509045357707	0.5962216651326037	0.5733764859097706	0.5772964463489275	0.5744956398820746	0.5944213301125966	0.5856903857821921
M8	0.8555948524692508	0.857163098160266	0.8583656576809665	0.8576877461194109	0.8583496876612475	0.8544575408511454	0.8588654046319623	0.858149956860382	0.8550402665670223	0.8564717314015946	0.8566783145042223	0.8603653121548434	0.8499119793512213	0.8576167909889729	0.853233144972051	0.8537346978922412	0.8571449623342466	0.8566128798663859	0.8593905353402982	0.8547799653768541	0.8594841709028497	0.8546316690415714	0.8590819527186163	0.8524938859517251	0.8514149927997081	0.8586409774812325	0.8583506396273779	0.8622944230713988	0.8554407033316149	0.8523070269725701	0.8503862572336249	0.8558074898642327	0.8579809846109326	0.852773393232871	0.8568856750838963	0.8545291474814634	0.8574756579768882
M9	0.8415089403381375	0.8410091543365612	0.8386500850101672	0.8386587930881794	0.8475433577662804	0.8400655166070969	0.8422408179902818	0.844187632842617	0.8423009925977445	0.846110882776057	0.8429745362264438	0.8410200394902836	0.8451187588308434	0.8463368979974034	0.8442150360919656	0.8442946520094341	0.8443459863264626	0.845022403782109	0.8442049644819322	0.8425963532168842	0.8364685287541059	0.8459538739537561	0.8472980194025619	0.8386909431847654	0.8370035469313266	0.8474224455746531	0.8361752414546508	0.838715480122745	0.841603296610286	0.8374728053792594	0.8491983282046299	0.8479554764452392	0.8374069316888494	0.8429275186985679	0.8518339952915892	0.8404686948251899	0.8353792173214375
M10	0.892200883964025	0.8917589110707553	0.8914215683869042	0.8984876926368867	0.8960812586655315	0.899248808022317	0.8965660590313452	0.889661508166862	0.8808086000387546	0.8982854548639734	0.89884213415746	0.8900256912370583	0.8891509166256643	0.8936442199939869	0.8872947678508164	0.8894596611717376	0.8959569108116893	0.8776174633043057	0.8787605484696921	0.8963091873954349	0.8944944593605922	0.8912136806800253	0.8936719450346076	0.8884806014893322	0.8873818722686323	0.8877634263005967	0.8875532659462072	0.8785616743115597	0.8953708977831737	0.8906004061559187	0.8907379562476249	0.8899257716126472	0.885821068058284	0.8949645719781616	0.9002643101750517	0.8958413545289899	0.8865438937862361
