dataset	base	top3_it1	top3_it2	top3_it3	top3_it4	top3_it5	top5_it1	top5_it2	top5_it3	top5_it4	top5_it5	top10_it1	top10_it2	top10_it3	top10_it4	top10_it5	mean_it1	mean_it2	mean_it3	mean_it4	mean_it5
M3	0.778264	0.778142	0.777860	0.777590	0.777538	0.777542	0.776744	0.776567	0.776547	0.776119	0.776127	0.774109	0.773225	0.774178	0.774940	0.775358	0.775153	0.776744	0.776309	0.776844	0.777074
M4	0.665097	0.664873	0.666169	0.666485	0.666485	0.666485	0.665646	0.667190	0.664771	0.666281	0.664720	0.667713	0.673020	0.670208	0.671392	0.670841	0.664333	0.672801	0.670899	0.673075	0.673075
M5	0.715658	0.716218	0.716218	0.716218	0.716218	0.716218	0.717788	0.719514	0.719514	0.719514	0.719514	0.717421	0.717920	0.718477	0.718250	0.718250	0.711659	0.712797	0.712454	0.712349	0.712007
M7	0.569453	0.571105	0.571349	0.571484	0.571484	0.571484	0.571184	0.572137	0.572669	0.572749	0.572745	0.572772	0.573908	0.574058	0.573971	0.573933	0.562269	0.562950	0.563750	0.565451	0.565414
M1	0.787198	0.792905	0.792190	0.792931	0.792679	0.792802	0.790825	0.791792	0.791505	0.791505	0.791552	0.778961	0.782208	0.780683	0.782857	0.780964	0.784400	0.788516	0.787664	0.786445	0.787537
M12	0.794426	0.791870	0.788022	0.787140	0.788508	0.788508	0.786423	0.780006	0.776653	0.778192	0.775271	0.767546	0.762809	0.755464	0.760643	0.757282	0.770045	0.778709	0.781309	0.782416	0.782904
M13	0.779820	0.784773	0.786021	0.786835	0.787061	0.786835	0.782077	0.785611	0.786066	0.785235	0.784236	0.784165	0.786684	0.786937	0.789588	0.796045	0.782383	0.783032	0.783075	0.782084	0.782000
M8	0.824923	0.825600	0.825313	0.824808	0.824808	0.824808	0.826005	0.824677	0.824322	0.824322	0.824322	0.821810	0.823781	0.823378	0.823252	0.822512	0.817769	0.820451	0.820609	0.820373	0.820989
M6	0.871244	0.879596	0.881254	0.882034	0.882306	0.882306	0.879683	0.882080	0.882687	0.882910	0.882910	0.877986	0.877221	0.875755	0.875359	0.875564	0.870421	0.874904	0.874299	0.873656	0.873414
M11	0.906466	0.906741	0.907142	0.907585	0.907585	0.907585	0.907798	0.909900	0.909428	0.908907	0.908805	0.906663	0.909649	0.908697	0.908724	0.908724	0.895425	0.895205	0.894964	0.895012	0.895012
M16	0.779862	0.770721	0.760330	0.760278	0.760109	0.760500	0.773361	0.763855	0.766303	0.767390	0.765801	0.778122	0.774051	0.772457	0.772234	0.771530	0.778122	0.776041	0.774436	0.774213	0.773364
M17	0.828643	0.812705	0.805451	0.807426	0.804889	0.806014	0.817304	0.796843	0.780904	0.771920	0.773938	0.820317	0.811339	0.802207	0.799651	0.793081	0.822680	0.819140	0.807815	0.818594	0.805091
M18	0.817829	0.825343	0.829690	0.831704	0.831765	0.831818	0.823243	0.831773	0.835210	0.835153	0.836039	0.811448	0.813741	0.810960	0.813742	0.811443	0.816583	0.817707	0.814218	0.817600	0.814189
M2	0.809740	0.813246	0.813756	0.813863	0.813863	0.813863	0.813556	0.814164	0.813002	0.811847	0.811879	0.807451	0.803530	0.803255	0.804875	0.807508	0.808747	0.809226	0.809544	0.809057	0.809449
M9	0.824502	0.822519	0.821370	0.821185	0.821139	0.821139	0.820391	0.818107	0.817819	0.817407	0.817407	0.819392	0.819021	0.818832	0.818975	0.819425	0.824492	0.825297	0.825533	0.826569	0.826198
M10	0.880916	0.882507	0.883437	0.882885	0.882968	0.883061	0.883519	0.884137	0.884118	0.884312	0.884312	0.884148	0.884827	0.885278	0.885376	0.885376	0.870831	0.874569	0.872718	0.872489	0.872930
M19	0.752456	0.743228	0.746971	0.745372	0.747642	0.747704	0.746368	0.745934	0.747701	0.749056	0.749056	0.747186	0.753994	0.754449	0.753994	0.754449	0.752246	0.754630	0.751599	0.756380	0.751595
M20	0.914251	0.915561	0.908269	0.906748	0.904895	0.904895	0.913674	0.913674	0.913674	0.913674	0.913674	0.912537	0.905613	0.905613	0.905613	0.905613	0.916003	0.905230	0.905755	0.905755	0.905755
M21	0.765038	0.773528	0.777952	0.778955	0.778911	0.778232	0.770992	0.770018	0.773971	0.776822	0.777074	0.768439	0.768543	0.772024	0.769359	0.763048	0.767690	0.769965	0.770479	0.769190	0.766333
M22	0.794435	0.784966	0.785617	0.781811	0.780714	0.780714	0.776249	0.778908	0.774881	0.773810	0.773149	0.779285	0.772834	0.753562	0.744312	0.735653	0.788659	0.783495	0.784238	0.781443	0.785154
M23	0.759671	0.761020	0.762824	0.762328	0.762708	0.762193	0.761590	0.762204	0.761758	0.762192	0.761786	0.755846	0.761361	0.767456	0.772244	0.774593	0.746096	0.755611	0.757582	0.762021	0.763214
M24	0.853182	0.861940	0.859413	0.858527	0.858527	0.858527	0.864983	0.868762	0.869846	0.867653	0.866700	0.859233	0.857921	0.856756	0.858309	0.858309	0.833388	0.829523	0.831772	0.832873	0.834012
M25	0.859194	0.847213	0.816241	0.797203	0.785256	0.780156	0.847213	0.816241	0.816241	0.816241	0.816241	0.847213	0.816241	0.816241	0.816241	0.816241	0.847213	0.816241	0.816241	0.816241	0.816241
M26	0.931795	0.922454	0.895708	0.928639	0.895708	0.895708	0.922984	0.909661	0.909661	0.909661	0.909661	0.939590	0.939590	0.922454	0.926835	0.917349	0.939590	0.939590	0.922454	0.926835	0.917349
