dataset	solo1	solo2	solo3	solo4	ens2	ens3	ens4
M1	0.797979	0.797805	0.798367	0.794904	0.791117	0.795606	0.798843
M2	0.816343	0.816187	0.809578	0.800504	0.816475	0.810622	0.812334
M3	0.776175	0.772242	0.761561	0.770965	0.776865	0.773585	0.774661
M4	0.622528	0.621103	0.607610	0.611157	0.653846	0.649884	0.659237
M5	0.716452	0.719212	0.722289	0.713980	0.716970	0.722423	0.717863
M6	0.875813	0.873702	0.882915	0.882275	0.879659	0.875612	0.881286
M7	0.573641	0.563638	0.573684	0.562977	0.554631	0.568219	0.561684
M8	0.841968	0.834469	0.842822	0.833664	0.824893	0.836163	0.836320
M9	0.818426	0.824167	0.813827	0.823695	0.822168	0.821967	0.834607
M10	0.857740	0.871980	0.878946	0.875030	0.868860	0.881309	0.884097
M11	0.911391	0.904478	0.908289	0.905813	0.907517	0.904203	0.914048
M12	0.774560	0.767346	0.813893	0.758976	0.761479	0.769020	0.785618
M13	0.782337	0.778888	0.789329	0.803451	0.780258	0.783154	0.791160
M16	0.780166	0.760665	0.784325	0.772094	0.776495	0.776109	0.775433
M17	0.819394	0.824326	0.855773	0.849889	0.819223	0.825590	0.841904
M18	0.806291	0.788946	0.770772	0.810102	0.787026	0.782964	0.813508
M19	0.749812	0.749674	0.729899	0.707343	0.748234	0.727082	0.726715
M20	0.915942	0.912249	0.915634	0.922017	0.918752	0.918713	0.922263
M21	0.776565	0.755874	0.778629	0.754116	0.752854	0.764670	0.765435
M22	0.797483	0.787062	0.794723	0.781902	0.787564	0.782218	0.774081
M23	0.723878	0.776340	0.729026	0.724285	0.773240	0.768174	0.733401
M24	0.836065	0.844488	0.837417	0.838382	0.863255	0.857380	0.869838
M25	0.854770	0.848719	0.870682	0.802765	0.854770	0.854770	0.854770
M26	0.901878	0.901878	0.886166	0.948891	0.950249	0.944767	0.944767
