dataset	solo1	solo2	solo3	solo4	ens2	ens3	ens4
M1	0.787198	0.797996	0.800369	0.789482	0.798362	0.795363	0.796801
M2	0.809740	0.799424	0.804399	0.801014	0.806556	0.808377	0.806379
M3	0.778264	0.775475	0.776169	0.768381	0.777103	0.780901	0.776663
M4	0.665097	0.643958	0.606656	0.644553	0.658034	0.660610	0.671930
M5	0.715658	0.725336	0.729363	0.728147	0.724357	0.718218	0.724917
M6	0.871244	0.878758	0.875138	0.866385	0.893744	0.890792	0.895758
M7	0.569453	0.554909	0.550824	0.557560	0.566448	0.560654	0.563304
M8	0.824923	0.835976	0.831106	0.832171	0.843001	0.844003	0.842542
M9	0.824502	0.828966	0.823268	0.817215	0.828876	0.846052	0.845845
M10	0.880916	0.886878	0.880245	0.873644	0.877806	0.887711	0.894588
M11	0.906466	0.903481	0.905695	0.900050	0.904023	0.908493	0.908234
M12	0.794426	0.795089	0.765533	0.794843	0.799678	0.795397	0.808531
M13	0.779820	0.790902	0.785268	0.781067	0.795442	0.790895	0.785181
M16	0.779862	0.760718	0.773679	0.776110	0.768970	0.773908	0.769981
M17	0.828643	0.838252	0.827273	0.830345	0.835932	0.854007	0.847606
M18	0.817829	0.780011	0.799445	0.796223	0.814743	0.818760	0.806122
M19	0.752456	0.744794	0.713899	0.708931	0.745891	0.753607	0.725371
M20	0.914251	0.917991	0.906288	0.913611	0.918390	0.911504	0.915064
M21	0.765038	0.772089	0.763644	0.776169	0.759014	0.762675	0.767311
M22	0.794435	0.792189	0.775475	0.780776	0.792986	0.789611	0.776693
M23	0.759671	0.715956	0.725174	0.727615	0.724791	0.744337	0.727275
M24	0.853182	0.832362	0.809426	0.840245	0.849620	0.855747	0.849227
M25	0.859194	0.837555	0.839177	0.810218	0.848719	0.870682	0.870682
M26	0.931795	0.959987	0.948712	0.937097	0.933629	0.933629	0.943291
