dataset	deployed(b0.6)	zs-only	both-only	hpeg-only	hcol-only	split r=1.0	split r=0.83	split r=0.67	split r=0.50	split r=0.33	split r=0.17	split r=0.0	tri b.3 p.15 c.15	tri b.2 p.2 c.2	tri b.4 p.1 c.1	tri b.4 p.2	tri b.4 c.2	tri b.48 p.12	tri b.48 c.12	tri b.52 c.08	noZS b.6 p.25 c.15	noZSc b.6 c.12 zp.28	hvy b.7 c.1	lrn.7 b.5 p.1 c.1	lrn.5 b.3 p.1 c.1
M5	0.715658	0.589498	0.726237	0.724480	0.547687	0.717229	0.718030	0.707393	0.665041	0.624526	0.603299	0.579929	0.701499	0.684302	0.694758	0.717096	0.693751	0.724161	0.694413	0.701312	0.717599	0.706629	0.700526	0.719206	0.715503
M4	0.665097	0.529187	0.613951	0.653859	0.344053	0.627359	0.635109	0.619884	0.591293	0.541619	0.482751	0.437494	0.626407	0.598589	0.639537	0.641003	0.599064	0.649347	0.615437	0.622413	0.642184	0.636840	0.644819	0.642513	0.628814
M1	0.787198	0.763068	0.762923	0.795389	0.585201	0.810885	0.814080	0.816948	0.792768	0.769150	0.729840	0.669323	0.801925	0.805351	0.805330	0.804677	0.786704	0.799677	0.789995	0.791191	0.795769	0.792870	0.791458	0.790703	0.808246
M6	0.871244	0.740186	0.861844	0.858820	0.605009	0.889026	0.890484	0.885306	0.884215	0.869614	0.826232	0.758752	0.889966	0.892170	0.887620	0.885562	0.879496	0.891635	0.885485	0.889374	0.887219	0.888763	0.886872	0.899029	0.893498
M9	0.824502	0.743565	0.826365	0.820331	0.557020	0.816354	0.816923	0.807935	0.808508	0.760879	0.739073	0.688635	0.830863	0.816406	0.828275	0.819200	0.825008	0.825459	0.828476	0.830443	0.841743	0.831188	0.827130	0.832930	0.823215
M11	0.906466	0.833762	0.909133	0.893735	0.469115	0.895113	0.910188	0.901999	0.900054	0.879901	0.859660	0.717989	0.920067	0.903745	0.934657	0.911154	0.928568	0.902225	0.931103	0.912322	0.921890	0.921242	0.915942	0.919206	0.917229
M12	0.794426	0.723077	0.767702	0.808415	0.377412	0.817435	0.826311	0.809931	0.775990	0.687790	0.616542	0.500731	0.796406	0.788586	0.796248	0.802378	0.783335	0.803551	0.773992	0.796719	0.797556	0.789928	0.775133	0.794891	0.799270
M2	0.809740	0.631551	0.816348	0.811354	0.589589	0.794440	0.802310	0.805639	0.791186	0.766202	0.729877	0.669951	0.812649	0.800040	0.816804	0.818547	0.808258	0.819924	0.822503	0.824056	0.819977	0.821412	0.819460	0.828154	0.804075
M16	0.779862	0.632626	0.774837	0.772369	0.525191	0.782674	0.779029	0.771453	0.757137	0.717488	0.658087	0.595063	0.785869	0.769415	0.789777	0.791562	0.752633	0.790899	0.788609	0.787256	0.772849	0.789296	0.787083	0.787402	0.790955
M17	0.828643	0.624142	0.872505	0.894296	0.444401	0.837638	0.843896	0.846100	0.806099	0.754994	0.654394	0.460950	0.838175	0.851679	0.842071	0.838176	0.836179	0.827732	0.837866	0.831014	0.880439	0.862682	0.861047	0.877527	0.842578
M18	0.817829	0.653250	0.751379	0.853185	0.355418	0.819497	0.829405	0.817469	0.795639	0.710371	0.664758	0.496382	0.820125	0.817142	0.827770	0.823206	0.798814	0.829105	0.825834	0.826440	0.830823	0.802949	0.810679	0.821998	0.823627
M19	0.752456	0.695678	0.732004	0.734797	0.573035	0.750993	0.742723	0.745844	0.745561	0.723749	0.693599	0.649891	0.752061	0.732483	0.757292	0.763198	0.755569	0.750818	0.745400	0.747949	0.746487	0.738382	0.728264	0.721911	0.754166
M20	0.914251	0.737443	0.907363	0.925407	0.571358	0.913018	0.913108	0.842390	0.830932	0.814154	0.692772	0.660049	0.911362	0.846891	0.915926	0.919039	0.835763	0.917986	0.909239	0.901397	0.901842	0.910466	0.906717	0.911299	0.913441
M13	0.779820	0.668672	0.794412	0.805618	0.409626	0.801707	0.786901	0.747828	0.732149	0.697688	0.645206	0.567962	0.765276	0.759360	0.773653	0.790377	0.755753	0.778629	0.754939	0.767392	0.800772	0.761327	0.773346	0.780937	0.768450
M22	0.794435	0.614799	0.769902	0.773144	0.518180	0.802547	0.810499	0.768488	0.757893	0.704924	0.648996	0.599410	0.801044	0.769552	0.800270	0.797783	0.770613	0.799217	0.796355	0.798465	0.783913	0.796323	0.795244	0.798960	0.770717
M23	0.759671	0.731363	0.733989	0.765276	0.487165	0.762191	0.838968	0.823388	0.717358	0.762057	0.691005	0.632777	0.776805	0.839726	0.756994	0.759400	0.745671	0.738433	0.755526	0.750461	0.786626	0.761649	0.773457	0.752914	0.766190
M21	0.765038	0.686142	0.798764	0.810930	0.546058	0.782347	0.791129	0.796370	0.768781	0.742034	0.697464	0.662412	0.782406	0.782985	0.785628	0.779836	0.770202	0.781251	0.781415	0.779511	0.826361	0.774703	0.811131	0.776506	0.787770
M25	0.859194	0.713938	0.891078	0.894408	0.597814	0.893796	0.854770	0.836616	0.811321	0.771374	0.703038	0.641324	0.839177	0.810218	0.848719	0.865316	0.834070	0.859194	0.828037	0.859194	0.908170	0.870682	0.859194	0.870682	0.839177
M26	0.931795	0.755955	0.954551	0.924512	0.433360	0.957054	0.916986	0.906623	0.870714	0.842269	0.693391	0.495152	0.861109	0.861109	0.939590	0.926331	0.888979	0.933629	0.879882	0.922454	0.943291	0.933629	0.922454	0.922454	0.861109
M24	0.853182	0.695820	0.838434	0.883349	0.433679	0.847804	0.886209	0.898809	0.910615	0.834380	0.782891	0.623630	0.869705	0.885593	0.857253	0.847955	0.883015	0.834901	0.868576	0.855989	0.867233	0.833377	0.862012	0.859967	0.860154
M10	0.880916	0.805507	0.850369	0.858608	0.324583	0.893245	0.898362	0.864715	0.835173	0.754170	0.653233	0.501998	0.887058	0.879395	0.876337	0.884402	0.851937	0.876453	0.879772	0.880117	0.878075	0.882395	0.876306	0.886878	0.897028
M8	0.824923	0.663870	0.818204	0.846436	0.422439	0.846105	0.845279	0.823616	0.783778	0.734904	0.662396	0.549871	0.843138	0.825365	0.831091	0.842086	0.823315	0.838228	0.831019	0.831654	0.845861	0.836361	0.835228	0.839898	0.822431
M3	0.778264	0.698016	0.768315	0.770544	0.572730	0.779665	0.789944	0.780087	0.771096	0.738197	0.711598	0.651990	0.787736	0.779175	0.789755	0.784801	0.777218	0.785334	0.787849	0.787227	0.805648	0.781464	0.782859	0.789215	0.782670
M7	0.569453	0.468758	0.586577	0.611829	0.359378	0.580956	0.556281	0.543543	0.540900	0.519702	0.471745	0.420301	0.561879	0.552870	0.564646	0.574564	0.543496	0.566102	0.546800	0.543950	0.575100	0.555011	0.572461	0.558601	0.540086
