dataset	deployed(b0.6)	hpeg-only	p.85 c.15	p.85c.15 +zp.04zc.02	b.55 p.30 c.15	b.6 p.25 c.15
M4	0.660610	0.649193	0.664259	0.641974	0.675843	0.665979
M5	0.718218	0.740902	0.744575	0.742741	0.727372	0.728400
M1	0.795363	0.803055	0.799492	0.800161	0.800458	0.800072
M6	0.890792	0.892220	0.886774	0.886771	0.896097	0.897174
M2	0.808446	0.817258	0.832833	0.832370	0.828712	0.827499
M9	0.846052	0.835638	0.838978	0.840183	0.843355	0.843912
M11	0.908493	0.896319	0.902699	0.908571	0.899279	0.898222
M12	0.795397	0.799423	0.820739	0.821794	0.806764	0.798708
M16	0.773908	0.779094	0.787111	0.792025	0.782650	0.783715
M17	0.854007	0.928873	0.922185	0.912055	0.896306	0.892585
M18	0.818760	0.811299	0.819549	0.828810	0.833603	0.830928
M13	0.790895	0.816932	0.816766	0.817307	0.812904	0.812156
M10	0.887711	0.872771	0.895506	0.902839	0.903425	0.902575
M20	0.911504	0.919004	0.904185	0.914087	0.913083	0.913083
M19	0.753607	0.740317	0.751288	0.750452	0.758309	0.749078
M22	0.789611	0.774499	0.789746	0.786657	0.786762	0.786471
M23	0.744337	0.797745	0.809187	0.809920	0.795701	0.784946
M25	0.870682	0.893796	0.900889	0.900889	0.908170	0.908170
M26	0.933629	0.952155	0.915068	0.915068	0.972286	0.972286
M24	0.855747	0.911204	0.906516	0.898622	0.907582	0.902950
M21	0.762675	0.796355	0.846596	0.854117	0.834766	0.829504
M8	0.844003	0.849762	0.857793	0.856691	0.850465	0.850184
M3	0.780901	0.784362	0.800028	0.804201	0.806932	0.805378
M7	0.561722	0.639668	0.623679	0.616572	0.582963	0.573310
