dataset	deployed(b0.6)	b.55 p.30 c.15	p.85 c.15
M5	0.718218	0.720700	0.734255
M4	0.660610	0.639010	0.661812
M1	0.795363	0.803524	0.809150
M6	0.890792	0.897349	0.885265
M2	0.808446	0.835632	0.834496
M9	0.846052	0.839013	0.845045
M11	0.908493	0.900715	0.903160
M12	0.795397	0.807513	0.813278
M16	0.773908	0.787693	0.782716
M17	0.854007	0.892268	0.922770
M18	0.818760	0.833914	0.826812
M19	0.753607	0.745589	0.750196
M20	0.911504	0.914130	0.913038
M13	0.790895	0.817389	0.814327
M22	0.789611	0.789376	0.795728
M21	0.762675	0.829817	0.838219
M23	0.744337	0.795391	0.824626
M25	0.870682	0.908170	0.900889
M26	0.933629	0.972286	0.957054
M24	0.855747	0.905609	0.905429
M10	0.887711	0.890963	0.905532
M8	0.844003	0.854230	0.856185
M3	0.780901	0.806395	0.802248
M7	0.561722	0.581950	0.614020
