dataset	deployed(b0.6)	b.55 p.30 c.15	p.85 c.15
M5	0.718218	0.730960	0.743699
M4	0.660610	0.671220	0.659557
M1	0.795363	0.799656	0.806248
M6	0.890792	0.896629	0.883544
M9	0.846052	0.841932	0.839843
M2	0.808446	0.825316	0.834251
M12	0.795397	0.800149	0.824254
M11	0.908493	0.899308	0.909164
M16	0.773908	0.780519	0.790535
M17	0.854007	0.908689	0.924653
M18	0.818760	0.834154	0.828348
M19	0.753607	0.750810	0.747837
M20	0.911504	0.913083	0.909986
M13	0.790895	0.814084	0.817379
M21	0.762675	0.837881	0.855659
M22	0.789611	0.787327	0.786463
M23	0.744337	0.795717	0.815543
M25	0.870682	0.908170	0.900889
M26	0.933629	0.972286	0.957054
M24	0.855747	0.904760	0.904608
M10	0.887711	0.892643	0.906241
M8	0.844003	0.852486	0.860292
M7	0.561722	0.589833	0.611414
M3	0.780901	0.808074	0.802863
