dataset	deployed(b0.6)	joint-only	peg-only	p.90 c.10	p.87 c.13	p.85 c.15	p.82 c.18	p.80 c.20	p.75 c.25	b.55 p.30 c.15	b.45 p.40 c.15	b.30 p.55 c.15	b.20 p.65 c.15	b.15 p.70 c.15	b.30 p.60 c.10	b.20 p.60 c.20	b.55 p.33 c.12	pair+zs	b.3p.55c.15+zs	b.6 p.25 c.15
M5	0.719807	0.714066	0.723072	0.724214	0.724098	0.720060	0.713050	0.713278	0.703358	0.726610	0.729270	0.725700	0.720353	0.721891	0.725071	0.719874	0.728194	0.719129	0.723579	0.730089
M4	0.636209	0.661885	0.652845	0.662572	0.662624	0.659237	0.647926	0.653090	0.631749	0.660819	0.663754	0.672327	0.655476	0.654887	0.671698	0.626758	0.665738	0.654589	0.679418	0.662666
M1	0.796173	0.786703	0.804539	0.810828	0.809353	0.812156	0.814567	0.824199	0.820845	0.806385	0.810495	0.807306	0.810968	0.809573	0.803112	0.820398	0.806926	0.812670	0.804842	0.808810
M6	0.893342	0.873344	0.886841	0.889250	0.894915	0.898357	0.889951	0.891588	0.889337	0.885896	0.898200	0.889131	0.880403	0.880912	0.896788	0.896715	0.891737	0.898381	0.900062	0.888111
M9	0.817574	0.848680	0.847890	0.845246	0.849147	0.845026	0.843730	0.842709	0.835389	0.842793	0.846061	0.843292	0.842826	0.843448	0.845871	0.844906	0.844547	0.845342	0.840502	0.842044
M11	0.902556	0.914857	0.908210	0.919308	0.913388	0.912166	0.911558	0.911770	0.908186	0.912993	0.916843	0.923937	0.904938	0.906502	0.911815	0.922715	0.918965	0.914671	0.923070	0.914625
M2	0.815610	0.806792	0.825009	0.837337	0.836461	0.832520	0.828711	0.823254	0.822462	0.832525	0.834095	0.831187	0.834709	0.831774	0.826896	0.824867	0.836173	0.831983	0.835997	0.832727
M12	0.794463	0.764281	0.795954	0.807249	0.813330	0.818512	0.812928	0.810668	0.796077	0.806060	0.809254	0.805112	0.809646	0.815800	0.813810	0.807665	0.809010	0.817043	0.808352	0.798059
M16	0.774784	0.764906	0.774437	0.779173	0.778838	0.781090	0.782244	0.788143	0.747821	0.781360	0.785760	0.782888	0.784853	0.784853	0.780350	0.786222	0.780537	0.782099	0.786803	0.779126
M17	0.829064	0.887835	0.907857	0.894984	0.891658	0.888821	0.879162	0.884420	0.886516	0.896243	0.897232	0.905353	0.889299	0.890132	0.891017	0.886127	0.894416	0.888821	0.890054	0.883538
M18	0.808803	0.806732	0.798722	0.814749	0.817828	0.827696	0.845018	0.840111	0.817945	0.822255	0.828356	0.832879	0.837149	0.829124	0.828711	0.811224	0.825492	0.828599	0.829372	0.816347
M13	0.782708	0.795007	0.828181	0.815013	0.813851	0.812477	0.805153	0.810340	0.789214	0.809361	0.805720	0.810717	0.810987	0.803891	0.808766	0.804291	0.808712	0.801717	0.805366	0.808561
M19	0.755650	0.735564	0.741516	0.758747	0.755546	0.763546	0.741662	0.739248	0.749368	0.749515	0.742044	0.758990	0.760011	0.755988	0.759685	0.751606	0.751020	0.745331	0.758708	0.749515
M20	0.911523	0.905705	0.896238	0.896501	0.912603	0.897938	0.920333	0.910056	0.919324	0.920623	0.916014	0.923620	0.919487	0.915149	0.922644	0.918221	0.917465	0.901098	0.920136	0.922087
M22	0.777937	0.778184	0.783684	0.787415	0.789900	0.790010	0.790665	0.789342	0.790332	0.783715	0.783402	0.785547	0.788654	0.786382	0.787549	0.789678	0.784618	0.789463	0.790701	0.786350
M23	0.770953	0.763907	0.760828	0.778005	0.798131	0.801734	0.810097	0.798744	0.806367	0.754925	0.765609	0.773692	0.780298	0.797995	0.793452	0.810655	0.772149	0.797099	0.784384	0.770806
M21	0.767235	0.825289	0.814819	0.809596	0.807166	0.805639	0.815321	0.809540	0.802129	0.801766	0.802127	0.800923	0.835260	0.831961	0.844750	0.800582	0.802743	0.807994	0.811249	0.799132
M25	0.854770	0.905385	0.912003	0.905385	0.905385	0.926536	0.926536	0.926536	0.900889	0.908170	0.910971	0.910971	0.910971	0.910971	0.910971	0.910971	0.910971	0.926536	0.910971	0.908170
M26	0.957054	0.957054	0.933182	0.919008	0.919008	0.919008	0.919008	0.919008	0.919008	0.957054	0.957054	0.957054	0.957054	0.957054	0.957054	0.957054	0.957054	0.919008	0.957054	0.957054
M24	0.864023	0.884194	0.910787	0.915240	0.908947	0.908947	0.920739	0.923511	0.928912	0.900725	0.911900	0.924652	0.902000	0.899462	0.899528	0.929279	0.918169	0.908947	0.925992	0.911038
M10	0.865947	0.852726	0.861499	0.868927	0.878494	0.894742	0.894879	0.882140	0.894414	0.880556	0.881684	0.890921	0.886814	0.896240	0.864964	0.893654	0.876137	0.900931	0.891788	0.871247
M8	0.835794	0.832886	0.864647	0.865397	0.861925	0.857313	0.859461	0.853723	0.852124	0.844030	0.852714	0.857159	0.857708	0.859845	0.854754	0.851161	0.849622	0.859987	0.858185	0.848695
M7	0.592768	0.609895	0.670043	0.627936	0.620347	0.610003	0.601290	0.605089	0.596226	0.594087	0.602924	0.607725	0.608674	0.608851	0.626313	0.588409	0.610269	0.598337	0.603923	0.601056
M3	0.772443	0.775026	0.764188	0.805129	0.805082	0.809576	0.804543	0.805926	0.813880	0.809243	0.812083	0.808722	0.808953	0.808045	0.806063	0.811969	0.804704	0.807573	0.811883	0.806530
