dataset	deployed(b0.6)	noB p.92 c.08	noB p.90 c.10	noB p.87 c.13	noB p.85 c.15	noB p.82 c.18	noB p.80 c.20	zs.05 p.82 c.13	zs.1 p.78 c.12
M4	0.665097	0.650355	0.650922	0.652492	0.651850	0.626417	0.628073	0.653954	0.651624
M5	0.715658	0.726097	0.723088	0.723531	0.726101	0.724338	0.720944	0.726101	0.728230
M1	0.787198	0.809684	0.804368	0.804958	0.804496	0.807771	0.814369	0.804838	0.805579
M6	0.871244	0.872574	0.872725	0.877018	0.882490	0.879054	0.873406	0.884981	0.886925
M2	0.809740	0.819363	0.818449	0.827258	0.827624	0.821273	0.828906	0.833495	0.833359
M9	0.824502	0.824795	0.827815	0.825932	0.828877	0.828051	0.826200	0.824860	0.824825
M3	0.778264	0.788272	0.791645	0.793390	0.791444	0.802613	0.794718	0.791505	0.790063
M7	0.569453	0.618507	0.618945	0.588357	0.596293	0.605068	0.588277	0.589771	0.597916
M11	0.906466	0.892550	0.906419	0.908287	0.908251	0.916501	0.916501	0.906788	0.903807
M12	0.794426	0.825399	0.821710	0.819841	0.821401	0.813777	0.817084	0.824217	0.828267
M8	0.824923	0.854968	0.855966	0.856481	0.857124	0.853956	0.856365	0.857427	0.856546
M17	0.828643	0.916638	0.912614	0.913254	0.919108	0.906194	0.906130	0.916202	0.910564
M16	0.779862	0.782061	0.782205	0.778631	0.783462	0.780924	0.786367	0.785777	0.779221
M18	0.817829	0.848730	0.846534	0.856050	0.852615	0.838410	0.840378	0.843947	0.848384
M19	0.752456	0.757047	0.763929	0.752706	0.749561	0.744370	0.752612	0.753699	0.756633
M20	0.914251	0.921717	0.913149	0.913390	0.907377	0.908666	0.908666	0.907377	0.907616
M22	0.794435	0.776436	0.777970	0.785261	0.786430	0.786653	0.791656	0.786025	0.785921
M23	0.759671	0.778091	0.779442	0.783966	0.783966	0.789206	0.778191	0.791889	0.785709
M24	0.853182	0.902227	0.897659	0.909034	0.911199	0.907487	0.904188	0.909034	0.902347
M25	0.859194	0.894408	0.894408	0.894408	0.894408	0.897129	0.897129	0.894408	0.905385
M26	0.931795	0.938090	0.938090	0.938090	0.938090	0.938090	0.938090	0.938090	0.938090
M21	0.765038	0.823625	0.823548	0.837798	0.842150	0.836863	0.834387	0.849720	0.824660
M13	0.779820	0.814063	0.806743	0.811513	0.797231	0.796971	0.796422	0.798892	0.799550
M10	0.880916	0.877576	0.877311	0.876069	0.880668	0.880866	0.894816	0.878878	0.895542
