dataset	deployed(b0.6)	noZS b.6 p.25 c.15	noZS b.55 p.30 c.15	noZS b.65 p.20 c.15	noZS b.6 p.3 c.1	noZS b.6 p.2 c.2	noZS b.5 p.35 c.15	noZS b.5 p.3 c.2	noZS b.7 p.2 c.1	noZS b.45 p.4 c.15	zs.1 b.55 p.25 c.12	zs.2 b.5 p.22 c.13	noB zs.4 p.52 c.08	noB zs.4 p.48 c.12	noB p.85 c.15	noB p.75 c.25
M4	0.665097	0.642184	0.646436	0.648665	0.653706	0.639719	0.650243	0.637853	0.652377	0.651646	0.624098	0.628677	0.626958	0.637089	0.651850	0.633688
M5	0.715658	0.717599	0.719323	0.715784	0.721556	0.711917	0.719504	0.702766	0.721499	0.707832	0.727902	0.727199	0.718296	0.711548	0.726101	0.712285
M1	0.787198	0.795769	0.796757	0.798544	0.798054	0.795670	0.798468	0.798371	0.797660	0.802502	0.796304	0.799385	0.810921	0.812174	0.804496	0.804793
M6	0.871244	0.887219	0.879699	0.889554	0.878793	0.890209	0.878816	0.885820	0.886742	0.882133	0.899515	0.896937	0.891621	0.889755	0.882490	0.885344
M2	0.809740	0.819977	0.823360	0.819940	0.819608	0.836897	0.825369	0.833854	0.813967	0.824245	0.819772	0.828409	0.806939	0.801202	0.827624	0.819086
M9	0.824502	0.841743	0.845104	0.837645	0.841331	0.843534	0.839170	0.842667	0.838673	0.839031	0.844346	0.829264	0.805101	0.818270	0.828877	0.820243
M3	0.778264	0.805648	0.808045	0.805609	0.803140	0.802120	0.806301	0.804797	0.798600	0.796203	0.800332	0.798825	0.783356	0.788491	0.791444	0.799748
M11	0.906466	0.921890	0.922231	0.921235	0.919797	0.915628	0.920447	0.916434	0.916428	0.921575	0.926140	0.924263	0.907694	0.902722	0.908251	0.915609
M12	0.794426	0.797556	0.793218	0.794431	0.802754	0.773984	0.794014	0.786602	0.795198	0.796346	0.797672	0.801094	0.824386	0.817625	0.821401	0.809296
M7	0.569453	0.575100	0.582159	0.582986	0.599070	0.579694	0.580795	0.585134	0.593985	0.591777	0.578976	0.562957	0.563008	0.547408	0.596293	0.584774
M16	0.779862	0.772849	0.767579	0.776669	0.776656	0.782853	0.769194	0.787943	0.779813	0.767694	0.771374	0.791090	0.780534	0.783613	0.783462	0.788259
M8	0.824923	0.845861	0.854859	0.850902	0.850746	0.847336	0.854399	0.853181	0.849214	0.856712	0.847855	0.845136	0.844759	0.841285	0.857124	0.850015
M17	0.828643	0.880439	0.885269	0.871588	0.877212	0.881155	0.879324	0.886283	0.871806	0.878454	0.864773	0.874275	0.850461	0.868396	0.919108	0.920894
M10	0.880916	0.878075	0.877188	0.876964	0.868395	0.887669	0.891566	0.894902	0.872002	0.895860	0.888546	0.882045	0.902758	0.892050	0.880668	0.871769
M20	0.914251	0.901842	0.914207	0.905326	0.919971	0.906434	0.914207	0.914034	0.910405	0.909865	0.908400	0.910331	0.914320	0.903562	0.907377	0.909306
M18	0.817829	0.830823	0.845981	0.834651	0.823868	0.837697	0.833931	0.842651	0.834471	0.840398	0.833003	0.835949	0.833581	0.819565	0.852615	0.818748
M19	0.752456	0.746487	0.750280	0.755739	0.744811	0.747181	0.748187	0.752745	0.758038	0.753448	0.746852	0.753146	0.739970	0.732629	0.749561	0.748874
M22	0.794435	0.783913	0.782114	0.787910	0.777578	0.792246	0.784161	0.782287	0.780419	0.776092	0.789219	0.786692	0.803925	0.797657	0.786430	0.797307
M21	0.765038	0.826361	0.832493	0.837251	0.842032	0.816816	0.831950	0.812520	0.820010	0.825601	0.811308	0.812773	0.784583	0.794475	0.842150	0.825610
M25	0.859194	0.908170	0.908170	0.897129	0.902617	0.897129	0.908170	0.897129	0.908170	0.908170	0.908170	0.896531	0.849588	0.854770	0.894408	0.891704
M26	0.931795	0.943291	0.957054	0.954551	0.915729	0.922454	0.957054	0.927898	0.911939	0.957054	0.957054	0.922454	0.916986	0.916986	0.938090	0.938090
M23	0.759671	0.786626	0.793455	0.774008	0.773846	0.772275	0.769703	0.758033	0.791918	0.768608	0.772013	0.746972	0.832074	0.831121	0.783966	0.845707
M24	0.853182	0.867233	0.917396	0.893619	0.912917	0.874038	0.908848	0.910810	0.887904	0.904848	0.909606	0.906789	0.859860	0.889523	0.911199	0.900534
M13	0.779820	0.800772	0.805243	0.797592	0.811955	0.783562	0.811771	0.785925	0.808191	0.810045	0.804268	0.783940	0.788327	0.783080	0.797231	0.791765
