dataset	deployed(b0.6)	p.85c.15 (ref)	+zp.04	+zp.08	+zp.15	+zc.02	+zc.05	+zc.10	+zp.04 zc.02	+zp.04 zc.05	+zp.08 zc.02	+zp.08 zc.05	+zp.08 zc.10	+zp.15 zc.05	+zp.15 zc.10
M4	0.665097	0.651850	0.654593	0.656969	0.654135	0.621210	0.628076	0.632050	0.652384	0.630148	0.652813	0.631880	0.634126	0.635698	0.636324
M5	0.715658	0.726101	0.726912	0.726912	0.728288	0.726101	0.725657	0.725657	0.727231	0.725715	0.728230	0.725715	0.726623	0.728288	0.728114
M1	0.787198	0.804496	0.805647	0.806678	0.808571	0.805984	0.809298	0.806254	0.806416	0.807422	0.806829	0.808422	0.811866	0.808038	0.807423
M6	0.871244	0.882490	0.876036	0.873473	0.886770	0.883401	0.893244	0.886742	0.880697	0.892253	0.884092	0.890304	0.886815	0.891743	0.889539
M2	0.809740	0.827624	0.832312	0.830347	0.823512	0.824450	0.832534	0.831458	0.835583	0.830209	0.833211	0.832221	0.829182	0.829134	0.830167
M9	0.824502	0.828877	0.824558	0.828332	0.828798	0.821860	0.822458	0.824414	0.821854	0.817292	0.823233	0.823356	0.820547	0.823214	0.815669
M3	0.778264	0.791444	0.792316	0.791475	0.792051	0.791928	0.790592	0.794033	0.789927	0.789771	0.791224	0.792279	0.794325	0.795646	0.795802
M11	0.906466	0.908251	0.908190	0.907608	0.907648	0.909670	0.903547	0.902606	0.908735	0.898115	0.903108	0.895476	0.904270	0.896440	0.903118
M7	0.569453	0.596293	0.587697	0.592592	0.583368	0.604221	0.608276	0.591074	0.605521	0.604622	0.596442	0.602466	0.601921	0.570513	0.577341
M8	0.824923	0.857124	0.856475	0.857938	0.856657	0.855227	0.856514	0.850505	0.854495	0.857169	0.858511	0.853366	0.846094	0.854078	0.850398
M16	0.779862	0.783462	0.782310	0.782310	0.781892	0.782885	0.786503	0.787017	0.782310	0.786503	0.781892	0.787239	0.784562	0.782035	0.782822
M17	0.828643	0.919108	0.919108	0.911079	0.915789	0.917491	0.905559	0.897724	0.917491	0.898146	0.911079	0.901658	0.898179	0.908476	0.895181
M12	0.794426	0.821401	0.826695	0.821959	0.827321	0.824679	0.824086	0.818675	0.824620	0.826083	0.825574	0.826822	0.815967	0.827888	0.820930
M13	0.779820	0.797231	0.799906	0.796963	0.798815	0.795121	0.797984	0.793872	0.800972	0.798910	0.797492	0.797155	0.797277	0.800165	0.802270
M20	0.914251	0.907377	0.907377	0.907377	0.910240	0.908666	0.909145	0.909145	0.907377	0.907377	0.907377	0.907377	0.908905	0.907377	0.910015
M19	0.752456	0.749561	0.754016	0.761813	0.762884	0.752105	0.752130	0.750090	0.752656	0.753902	0.753445	0.751159	0.754029	0.758177	0.761529
M18	0.817829	0.852615	0.848309	0.841180	0.838807	0.847188	0.846545	0.838354	0.847435	0.846876	0.845945	0.849691	0.834820	0.843781	0.839956
M22	0.794435	0.786430	0.784073	0.786608	0.781375	0.786430	0.788030	0.787990	0.794303	0.786172	0.794159	0.797457	0.786685	0.792819	0.788498
M23	0.759671	0.783966	0.775683	0.783605	0.777538	0.772674	0.787881	0.796965	0.792708	0.788224	0.781741	0.790807	0.790228	0.778522	0.785708
M25	0.859194	0.894408	0.894408	0.897129	0.885687	0.897129	0.897129	0.897129	0.897129	0.897129	0.897129	0.897129	0.897129	0.893796	0.897129
M26	0.931795	0.938090	0.938090	0.938090	0.938090	0.938090	0.938090	0.938090	0.938090	0.938090	0.938090	0.938090	0.938090	0.938090	0.909968
M24	0.853182	0.911199	0.908039	0.903650	0.904932	0.909603	0.927646	0.897635	0.908039	0.901298	0.903650	0.896912	0.898134	0.894852	0.895724
M21	0.765038	0.842150	0.843183	0.832979	0.800115	0.825890	0.827587	0.803497	0.831776	0.829184	0.824292	0.805524	0.801928	0.795139	0.807192
M10	0.880916	0.880668	0.879084	0.879341	0.872841	0.896392	0.876574	0.887767	0.895800	0.896562	0.895800	0.896789	0.899826	0.899095	0.894160
