dataset	solo1	ens3	ens3tta_b0.55	ens3tta_b0.6	ens3tta_b0.65	ens3tta_b0.7
M1	0.787198	0.795363	0.804324	0.801108	0.799203	0.800438
M2	0.809740	0.808377	0.810887	0.812770	0.811531	0.814692
M3	0.778264	0.780901	0.782454	0.781984	0.782885	0.784678
M4	0.665097	0.660610	0.661341	0.671673	0.670186	0.684593
M5	0.715658	0.718218	0.716865	0.718868	0.720243	0.719673
M6	0.871244	0.890792	0.897379	0.888019	0.884952	0.891130
M7	0.569453	0.560654	0.559751	0.560654	0.574289	0.572431
M8	0.824923	0.844003	0.851776	0.852675	0.851309	0.850723
M9	0.824502	0.846052	0.837421	0.846478	0.846499	0.846068
M10	0.880916	0.887711	0.889074	0.886421	0.878584	0.884289
M11	0.906466	0.908493	0.897950	0.900987	0.902186	0.902186
M12	0.794426	0.795397	0.810683	0.777543	0.784102	0.786570
M13	0.779820	0.790895	0.797558	0.805091	0.813717	0.804260
M16	0.779862	0.773908	0.779589	0.786496	0.781835	0.781387
M17	0.828643	0.854007	0.850453	0.851078	0.894613	0.893280
M18	0.817829	0.818760	0.816774	0.823336	0.820573	0.814851
M19	0.752456	0.753607	0.742550	0.744233	0.740729	0.724417
M20	0.914251	0.911504	0.918551	0.920827	0.917333	0.912317
M21	0.765038	0.762675	0.787241	0.774980	0.792622	0.796331
M22	0.794435	0.789611	0.793374	0.789611	0.773308	0.778674
M23	0.759671	0.744337	0.750117	0.744337	0.744337	0.723704
M24	0.853182	0.855747	0.874999	0.855747	0.843409	0.835327
M25	0.859194	0.870682	0.866099	0.866099	0.908170	0.908170
M26	0.931795	0.933629	0.933629	0.933629	0.933629	0.948532
