dataset	base	tta_proj	tta_zs	tta_both
M1	0.787198	0.796024	0.791186	0.791832
M2	0.809740	0.817714	0.817768	0.801596
M3	0.778264	0.781419	0.777458	0.788116
M4	0.665097	0.618265	0.638082	0.636417
M5	0.715658	0.709922	0.719030	0.719770
M6	0.871244	0.885672	0.884886	0.867709
M8	0.824923	0.848039	0.832882	0.845451
M9	0.824502	0.834842	0.821101	0.828544
M10	0.880916	0.880463	0.872317	0.863315
M11	0.906466	0.908935	0.902634	0.910268
M12	0.794426	0.790732	0.783479	0.789289
M13	0.779820	0.780342	0.780968	0.809194
M16	0.779862	0.768475	0.775013	0.768070
M17	0.828643	0.855563	0.857892	0.886439
M18	0.817829	0.814407	0.807869	0.833198
M19	0.752456	0.743186	0.748904	0.729954
M20	0.914251	0.916119	0.908711	0.914735
M21	0.765038	0.798517	0.773876	0.784488
M25	0.859194	0.882305	0.859194	0.876840
